REG AB,CLAVE CSF,TROQUEL AB,PRINCIPIO ACTIVO,NOMBRE COMERCIAL,POTENCIA,CONTENIDO,FORMA FARMACEUTICA,LABORATORIO,MONTO-FIJO A APLICAR
31064,5041111,5041111,CLONAZEPAM,EDICTUM,0.50 MG,30,COMPRIMIDOS,PHARMADORF,10.01
36837,5041113,5041113,CLONAZEPAM,EDICTUM,0.50 MG,50,COMPRIMIDOS,PHARMADORF,24.64
31061,5041271,5041271,CLONAZEPAM,EDICTUM,2 MG,30,COMPRIMIDOS,PHARMADORF,10.25
36838,5041273,5041273,CLONAZEPAM,EDICTUM,2 MG,50,COMPRIMIDOS,PHARMADORF,22.33
39497,5311683,5311683,CLONAZEPAM,FADA CLONAZEPAM,0.50 MG,30,COMPRIMIDOS,FADA PHARMA,10.01
39498,5531553,5531553,CLONAZEPAM,FADA CLONAZEPAM,2 MG,30,COMPRIMIDOS,FADA PHARMA,10.25
41655,5487263,5487263,CLONAZEPAM,FLOZEPAN,0.50 MG,10,COMPRIMIDOS,LAZAR,8.21
39140,5487261,5487261,CLONAZEPAM,FLOZEPAN,0.50 MG,30,COMPRIMIDOS,LAZAR,10.01
39141,5487262,5487262,CLONAZEPAM,FLOZEPAN,0.50 MG,50,COMPRIMIDOS,LAZAR,24.64
41656,5487423,5487423,CLONAZEPAM,FLOZEPAN,2 MG,10,COMPRIMIDOS,LAZAR,13.82
39142,5487421,5487421,CLONAZEPAM,FLOZEPAN,2 MG,30,COMPRIMIDOS,LAZAR,10.25
39143,5487422,5487422,CLONAZEPAM,FLOZEPAN,2 MG,50,COMPRIMIDOS,LAZAR,22.33
31823,5093872,5093872,CLONAZEPAM,INDUZEPAM,0.25%,20,SOLUCION,FINADIET,16.52
31819,5093664,5093664,CLONAZEPAM,INDUZEPAM,0.50 MG,30,COMPRIMIDOS,FINADIET,10.01
31820,5093666,5093666,CLONAZEPAM,INDUZEPAM,0.50 MG,50,COMPRIMIDOS,FINADIET,24.64
31821,5093714,5093714,CLONAZEPAM,INDUZEPAM,2 MG,30,COMPRIMIDOS,FINADIET,10.25
31822,5093716,5093716,CLONAZEPAM,INDUZEPAM,2 MG,50,COMPRIMIDOS,FINADIET,22.33
43526,5753973,5753973,CLONAZEPAM,INDUZEPAM RAPID,0.50 MG,30,COMPRIMIDOS,FINADIET,38.68
43527,5753975,5753975,CLONAZEPAM,INDUZEPAM RAPID,0.50 MG,50,COMPRIMIDOS,FINADIET,64.90
33614,5206903,5206903,CLONAZEPAM,INDUZEPAM SUBLINGUAL,0.25 MG,30,COMPRIMIDOS,FINADIET,18.96
33615,5207033,5207033,CLONAZEPAM,INDUZEPAM SUBLINGUAL,0.50 MG,30,COMPRIMIDOS,FINADIET,25.05
36113,0529444,529444,CLONAZEPAM,LEPTIC,0.50 MG,10,COMPRIMIDOS,SOUBEIRAN CHOBET,8.21
36114,5294441,5294441,CLONAZEPAM,LEPTIC,0.50 MG,30,COMPRIMIDOS,SOUBEIRAN CHOBET,28.59
36115,5294442,5294442,CLONAZEPAM,LEPTIC,0.50 MG,50,COMPRIMIDOS,SOUBEIRAN CHOBET,45.52
36116,0529451,529451,CLONAZEPAM,LEPTIC,2 MG,10,COMPRIMIDOS,SOUBEIRAN CHOBET,13.82
36117,5294511,5294511,CLONAZEPAM,LEPTIC,2 MG,30,COMPRIMIDOS,SOUBEIRAN CHOBET,31.12
36118,5294512,5294512,CLONAZEPAM,LEPTIC,2 MG,50,COMPRIMIDOS,SOUBEIRAN CHOBET,47.62
28103,4813172,4813172,CLONAZEPAM,NEURYL,0.25 MG,50,COMPRIMIDOS,BAGO,29.51
28545,4736531,4736531,CLONAZEPAM,NEURYL,0.25 MG,20,GOTAS,BAGO,27.87
35428,4736371,4736371,CLONAZEPAM,NEURYL,0.50 MG,30,COMPRIMIDOS,BAGO,28.59
26895,4736372,4736372,CLONAZEPAM,NEURYL,0.50 MG,50,COMPRIMIDOS,BAGO,45.52
28104,4813252,4813252,CLONAZEPAM,NEURYL,1 MG,50,COMPRIMIDOS,BAGO,48.97
35429,4736451,4736451,CLONAZEPAM,NEURYL,2 MG,30,COMPRIMIDOS,BAGO,31.12
26896,4736452,4736452,CLONAZEPAM,NEURYL,2 MG,50,COMPRIMIDOS,BAGO,47.62
30024,4957083,4957083,CLONAZEPAM,NEURYL FLASH,0.50 MG,50,COMPRIMIDOS,BAGO,49.68
41421,5531683,9941421,CLONAZEPAM,PADITEX (PADITAX),0.5,30,COMPRIMIDOS,FADA PHARMA,10.01
46241,5649424,5649424,CLONAZEPAM,QUAZEMIC,0.50 MG,30,COMPRIMIDOS,MICROSULES ARG.,28.59
46242,5649427,5649427,CLONAZEPAM,QUAZEMIC,0.50 MG,60,COMPRIMIDOS,MICROSULES ARG.,32.10
46243,5649554,5649554,CLONAZEPAM,QUAZEMIC,2 MG,30,COMPRIMIDOS,MICROSULES ARG.,31.12
46244,5649557,5649557,CLONAZEPAM,QUAZEMIC,2 MG,60,COMPRIMIDOS,MICROSULES ARG.,54.94
41510,5668971,5668971,CLONAZEPAM,RIBOCLER,0.50 MG,30,COMPRIMIDOS,MONSERRAT,10.01
41511,5668972,5668972,CLONAZEPAM,RIBOCLER,0.50 MG,50,COMPRIMIDOS,MONSERRAT,24.64
41512,5669001,5669001,CLONAZEPAM,RIBOCLER,2 MG,30,COMPRIMIDOS,MONSERRAT,10.25
41513,5669002,5669002,CLONAZEPAM,RIBOCLER,2 MG,50,COMPRIMIDOS,MONSERRAT,22.33
30890,4922232,4922232,CLONAZEPAM,RIUCLONAZ,0.50 MG,30,COMPRIMIDOS,MEDIPHARMA,10.01
30891,4922233,4922233,CLONAZEPAM,RIUCLONAZ,0.50 MG,60,COMPRIMIDOS,MEDIPHARMA,50.90
30892,4922312,4922312,CLONAZEPAM,RIUCLONAZ,2 MG,30,COMPRIMIDOS,MEDIPHARMA,10.25
30893,4922313,4922313,CLONAZEPAM,RIUCLONAZ,2 MG,60,COMPRIMIDOS,MEDIPHARMA,32.10
17769,2238342,2238342,CLONAZEPAM,RIVOTRIL,0.25 MG,20,GOTAS,INVESTI,27.87
17546,2290563,2290563,CLONAZEPAM,RIVOTRIL,0.50 MG,30,COMPRIMIDOS,INVESTI,28.59
14450,2290562,2290562,CLONAZEPAM,RIVOTRIL,0.50 MG,50,COMPRIMIDOS,INVESTI,45.52
18746,2290564,2290564,CLONAZEPAM,RIVOTRIL,0.50 MG,60,COMPRIMIDOS,INVESTI,50.90
17547,2238261,2238261,CLONAZEPAM,RIVOTRIL,2 MG,30,COMPRIMIDOS,INVESTI,31.12
10519,2238263,2238263,CLONAZEPAM,RIVOTRIL,2 MG,50,COMPRIMIDOS,INVESTI,47.62
18747,2238264,2238264,CLONAZEPAM,RIVOTRIL,2 MG,60,COMPRIMIDOS,INVESTI,54.94
29806,4995101,4995101,CLONAZEPAM,RIVOTRIL SUBLINGUAL,0.25 MG,30,COMPRIMIDOS,INVESTI,26.18
35772,4891551,4891551,CLONAZEPAM,SEDOVANON,0.50 MG,10,COMPRIMIDOS,CRAVERI,8.21
35773,4891552,4891552,CLONAZEPAM,SEDOVANON,0.50 MG,30,COMPRIMIDOS,CRAVERI,10.01
35774,4891632,4891632,CLONAZEPAM,SEDOVANON,2 MG,30,COMPRIMIDOS,CRAVERI,10.25
32387,5128121,5128121,CLONAZEPAM,SENSATON,0.50 MG,30,COMPRIMIDOS,TEMIS-LOSTALO,28.59
32388,5128281,5128281,CLONAZEPAM,SENSATON,2 MG,30,COMPRIMIDOS,TEMIS-LOSTALO,31.12
18311,4169682,4169682,CLONAZEPAM,SOLFIDIN,0.50 MG,30,COMPRIMIDOS,ASTRAZENECA,28.59
18312,4169762,4169762,CLONAZEPAM,SOLFIDIN,2 MG,30,COMPRIMIDOS,ASTRAZENECA,31.12
48367,5996131,5996131,CLONAZEPAM,SOLFIDIN FLASH,0.5 MG,30,COMPRIMIDOS,ASTRAZENECA,25.05
48368,5996132,5996132,CLONAZEPAM,SOLFIDIN FLASH,0.5 MG,60,COMPRIMIDOS,ASTRAZENECA,61.00
40189,5632134,5632134,CLONAZEPAM,TECEPIN,0.50 MG,50,COMPRIMIDOS,SAVANT RETAIL,45.52
40190,5632394,5632394,CLONAZEPAM,TECEPIN,2 MG,50,COMPRIMIDOS,SAVANT RETAIL,47.62
48962,51086422,5108641,CLOPIDOGREL,ANTIPLAQ,75 MG,14,COMPRIMIDOS,RICHMOND,85.38
48963,5108644,5108644,CLOPIDOGREL,ANTIPLAQ,75 MG,28,COMPRIMIDOS,RICHMOND,242.76
32802,5108645,5108645,CLOPIDOGREL,ANTIPLAQ,75 MG,30,COMPRIMIDOS,RICHMOND,225.61
41008,5684001,5684001,CLOPIDOGREL,ARICLOPIN,75 MG,15,COMPRIMIDOS,ARISTON,36.86
41009,5684002,5684002,CLOPIDOGREL,ARICLOPIN,75 MG,30,COMPRIMIDOS,ARISTON,71.37
41010,5684003,5684003,CLOPIDOGREL,ARICLOPIN,75 MG,60,COMPRIMIDOS,ARISTON,111.48
46130,5032891,5032891,CLOPIDOGREL,CLODREL,75 MG,15,COMPRIMIDOS,BALIARDA,36.86
46131,5032893,5032893,CLOPIDOGREL,CLODREL,75 MG,30,COMPRIMIDOS,BALIARDA,225.61
33906,5198952,5198952,CLOPIDOGREL,CLOPIDOGREL NORTHIA,75 MG,14,COMPRIMIDOS,NORTHIA,85.38
45011,5198951,5198951,CLOPIDOGREL,CLOPIDOGREL NORTHIA,75 MG,15,COMPRIMIDOS,NORTHIA,122.88
44737,5900262,5900262,CLOPIDOGREL,CLOPIDOGREL PUNTANOS,75 MG,30,COMPRIMIDOS,LABORATORIOS PUNTANOS,71.37
42584,5699711,5699711,CLOPIDOGREL,CLOPIDOGREL RICHET,75 MG,15,COMPRIMIDOS,RICHET,36.86
42583,5699712,5699712,CLOPIDOGREL,CLOPIDOGREL RICHET,75 MG,30,COMPRIMIDOS,RICHET,71.37
48530,5699713,5699713,CLOPIDOGREL,CLOPIDOGREL RICHET,75 MG,60,COMPRIMIDOS,RICHET,217.69
43183,5693392,5693392,CLOPIDOGREL,CLOPIDOGREL ROSPAW,75 MG,10,COMPRIMIDOS,ROSPAW,76.89
44877,5693393,5693393,CLOPIDOGREL,CLOPIDOGREL ROSPAW,75 MG,28,COMPRIMIDOS,ROSPAW,127.75
41961,0569339,569339,CLOPIDOGREL,CLOPIDOGREL ROSPAW,75 MG,30,COMPRIMIDOS,ROSPAW,71.37
47455,5693711,5693711,CLOPIDOGREL,CLOPILEP,75 MG,15,COMPRIMIDOS,LEPETIT,36.86
47456,5693712,5693712,CLOPIDOGREL,CLOPILEP,75 MG,30,COMPRIMIDOS,LEPETIT,71.37
47903,5693713,5693713,CLOPIDOGREL,CLOPILEP,75 MG,60,COMPRIMIDOS,LEPETIT,111.48
24568,4534152,4534152,CLOPIDOGREL,ISCOVER,75 MG,14,COMPRIMIDOS,BRISTOL,85.38
23314,4534151,4534151,CLOPIDOGREL,ISCOVER,75 MG,28,COMPRIMIDOS,BRISTOL,127.75
33880,5145751,5145751,CLOPIDOGREL,NABRATIN,75 MG,15,COMPRIMIDOS,RAFFO,122.88
33881,5145752,5145752,CLOPIDOGREL,NABRATIN,75 MG,30,COMPRIMIDOS,RAFFO,225.61
44480,5145961,5145961,CLOPIDOGREL,NADENEL,75 MG,14,COMPRIMIDOS,GEMINIS FARMACEU,85.38
44481,5145962,5145962,CLOPIDOGREL,NADENEL,75 MG,28,COMPRIMIDOS,GEMINIS FARMACEU,127.75
47399,5145963,5145963,CLOPIDOGREL,NADENEL,75 MG,30,COMPRIMIDOS,GEMINIS FARMACEU,71.37
29123,4911681,4911681,CLOPIDOGREL,NEFAZAN,75 MG,15,COMPRIMIDOS,PHOENIX,122.88
29124,4911682,4911682,CLOPIDOGREL,NEFAZAN,75 MG,30,COMPRIMIDOS,PHOENIX,225.61
46248,5649264,5649264,CLOPIDOGREL,PLATACA,75 MG,30,COMPRIMIDOS,SIDUS,71.37
44514,5806391,5806391,CLOPIDOGREL,PLAVIX,300 MG,4,COMPRIMIDOS,SANOFI-AVENTIS,160.31
22961,4507261,4507261,CLOPIDOGREL,PLAVIX,75 MG,14,COMPRIMIDOS,SANOFI-AVENTIS,127.38
22962,4507262,4507262,CLOPIDOGREL,PLAVIX,75 MG,28,COMPRIMIDOS,SANOFI-AVENTIS,242.76
33410,4700712,4700712,CLOPIDOGREL,PLEYAR,75 MG,30,COMPRIMIDOS,CASASCO,225.61
49142,5034143,5034143,CLOPIDOGREL,TROKEN,75 MG,15,COMPRIMIDOS,BAGO,122.88
49143,5034144,5034144,CLOPIDOGREL,TROKEN,75 MG,30,COMPRIMIDOS,BAGO,225.61
7082,0910092,910092,CLOROQUINA,NIVAQUINE,,30,COMPRIMIDOS,SANOFI-AVENTIS,40.92
2469,0908791,908791,CLORPROMAZINA,AMPLIACTIL,100 MG,50,COMPRIMIDOS,SANOFI-AVENTIS,79.06
10989,0914632,914632,CLORPROMAZINA,AMPLIACTIL,25 MG,30,COMPRIMIDOS,SANOFI-AVENTIS,25.04
10988,0913982,913982,CLORPROMAZINA,AMPLIACTIL ENDOVENOSA 5 UNIDADES,2.50%,2,AMPOLLA,SANOFI-AVENTIS,58.54
10987,0908372,908372,CLORPROMAZINA,AMPLIACTIL INTRAMUSCULAR 5 UNIDADES,0.50%,2,AMPOLLA,SANOFI-AVENTIS,56.71
28518,4285331,4285331,CLORPROMAZINA,CLORPROMAZINA CEVALLOS,100 MG,50,COMPRIMIDOS,CEVALLOS,62.53
28517,4288251,4285251,CLORPROMAZINA,CLORPROMAZINA CEVALLOS,25 MG,30,COMPRIMIDOS,CEVALLOS,18.66
29434,4984162,4984162,CLORPROMAZINA,CLORPROMAZINA DUNCAN,100 MG,50,COMPRIMIDOS,DUNCAN,79.06
29433,4984001,4984001,CLORPROMAZINA,CLORPROMAZINA DUNCAN,25 MG,30,COMPRIMIDOS,DUNCAN,18.66
36177,5201022,5201022,CLORTALIDONA,EURETICO,50 MG,30,COMPRIMIDOS,CASASCO,23.67
44850,4155982,4155982,CLORTALIDONA,HYGROTON,25 MG,42,COMPRIMIDOS,NOVARTIS,45.63
44851,0324592,324592,CLORTALIDONA,HYGROTON,50 MG,28,COMPRIMIDOS,NOVARTIS,41.14
24446,3850641,3850641,CLOZAPINA,CLOZAPINA FABRA,100 MG,30,COMPRIMIDOS,FABRA,138.83
15839,3850642,3850642,CLOZAPINA,CLOZAPINA FABRA,100 MG,100,COMPRIMIDOS,FABRA,584.61
24444,3850561,3850561,CLOZAPINA,CLOZAPINA FABRA,25 MG,30,COMPRIMIDOS,FABRA,47.47
15838,3850562,3850562,CLOZAPINA,CLOZAPINA FABRA,25 MG,100,COMPRIMIDOS,FABRA,152.06
35827,5283602,5283602,CLOZAPINA,CLOZAPINA ROSPAW,100 MG,30,COMPRIMIDOS,ROSPAW,197.34
35828,5283603,5283603,CLOZAPINA,CLOZAPINA ROSPAW,100 MG,100,COMPRIMIDOS,ROSPAW,554.48
35825,5283552,5283552,CLOZAPINA,CLOZAPINA ROSPAW,25 MG,30,COMPRIMIDOS,ROSPAW,38.71
35826,5283553,5283553,CLOZAPINA,CLOZAPINA ROSPAW,25 MG,100,COMPRIMIDOS,ROSPAW,119.14
17639,2269872,2269872,CLOZAPINA,LAPENAX,100 MG,30,COMPRIMIDOS,NOVARTIS,337.74
47761,2269875,2269875,CLOZAPINA,LAPENAX,100 MG,90,COMPRIMIDOS,NOVARTIS,743.44
17637,2155683,2155683,CLOZAPINA,LAPENAX,25 MG,100,COMPRIMIDOS,NOVARTIS,337.74
26424,4687532,4687532,CLOZAPINA,SEQUAX,100 MG,30,COMPRIMIDOS,IVAX ARG.,199.54
26425,4687533,4687533,CLOZAPINA,SEQUAX,100 MG,100,COMPRIMIDOS,IVAX ARG.,549.31
26423,9926423,4687453,CLOZAPINA,SEQUAX,25 MG,100,COMPRIMIDOS,IVAX ARG.,208.61
9313,3981581,3981581,COLESTIRAMINA,QUESTRAN LIGHT,,50,SOBRES,BRISTOL,342.21
6191,2817251,2817251,DESOGESTREL+ETINILESTRADIOL,MARVELON,,21,COMPRIMIDOS,MSD ARGENTINA SR,100 % PRECIO VENTA PUBLICO
15883,3929281,3929281,DESOGESTREL+ETINILESTRADIOL,MERCILON,,21,COMPRIMIDOS,MSD ARGENTINA SR,100 % PRECIO VENTA PUBLICO
19807,0471003,4710031,DIFENILHIDANTOINA,ETOINA,100 MG,50,CAPSULAS,KLONAL,100.08
7313,0958451,958451,DIGOXINA,CARDIOGOXIN,0.25 MG,30,COMPRIMIDOS,MEDIPHARMA,18.86
19632,0958452,958452,DIGOXINA,CARDIOGOXIN,0.25 MG,60,COMPRIMIDOS,MEDIPHARMA,45.15
14805,3885052,3885052,DIGOXINA,DIGOCARD G,0.25 MG,50,COMPRIMIDOS,KLONAL,42.39
29874,4994711,4994711,DIGOXINA,DIGOXINA LAFEDAR,0.25 MG,40,COMPRIMIDOS,LAFEDAR,36.74
1598,0155201,155201,DIGOXINA,LANICOR,0.25 MG,20,COMPRIMIDOS,HLB PHARMA,13.97
1599,0155202,155202,DIGOXINA,LANICOR,0.25 MG,60,COMPRIMIDOS,HLB PHARMA,38.57
1600,0155203,155203,DIGOXINA,LANICOR,0.25 MG,120,COMPRIMIDOS,HLB PHARMA,44.65
9109,0745001,745001,DIGOXINA,LANOXIN DIGOXINA,0.25 MG,25,COMPRIMIDOS,ROEMMERS,15.81
9110,0745002,745002,DIGOXINA,LANOXIN DIGOXINA,0.25 MG,50,COMPRIMIDOS,ROEMMERS,29.34
4370,0745003,745003,DIGOXINA,LANOXIN DIGOXINA,0.25 MG,100,COMPRIMIDOS,ROEMMERS,36.65
1316,0454941,454941,DIHIDROXIPROGESTERONA+ESTRADIOL,ATRIMON,,1,AMPOLLA,IVAX ARG.,100 % PRECIO VENTA PUBLICO
6689,0844501,844501,DIHIDROXIPROGESTERONA+ESTRADIOL,PERLUTAL 1 UNIDAD,,1,AMPOLLA,BOEHRINGER INGEL,100 % PRECIO VENTA PUBLICO
4537,3064741,3064741,DILTIAZEM,ACALIX,120 MG,20,COMPRIMIDOS,ROEMMERS,53.38
4545,3064742,3064742,DILTIAZEM,ACALIX,120 MG,50,COMPRIMIDOS,ROEMMERS,78.88
7576,2766271,2766271,DILTIAZEM,ACALIX,60 MG,20,COMPRIMIDOS,ROEMMERS,15.19
7577,2766272,2766272,DILTIAZEM,ACALIX,60 MG,50,COMPRIMIDOS,ROEMMERS,41.01
4531,3064661,3064661,DILTIAZEM,ACALIX,90 MG,20,COMPRIMIDOS,ROEMMERS,27.65
4532,3064662,3064662,DILTIAZEM,ACALIX,90 MG,50,COMPRIMIDOS,ROEMMERS,69.31
7578,2828722,2828722,DILTIAZEM,ACALIX AP,120 MG,30,CAPSULAS,ROEMMERS,95.41
17871,4043512,4043512,DILTIAZEM,ACALIX CD,180 MG,30,CAPSULAS,ROEMMERS,125.18
17872,3091972,3091972,DILTIAZEM,ACALIX CD,240 MG,30,CAPSULAS,ROEMMERS,184.28
17873,4071813,4071813,DILTIAZEM,ACALIX CD,300 MG,30,CAPSULAS,ROEMMERS,163.74
38106,5468844,5468844,DILTIAZEM,ACALIX CRONOS,180 MG,30,CAPSULAS,ROEMMERS,118.88
38107,5468974,5468974,DILTIAZEM,ACALIX CRONOS,240 MG,30,CAPSULAS,ROEMMERS,174.13
38108,5469004,5469004,DILTIAZEM,ACALIX CRONOS,300 MG,30,CAPSULAS,ROEMMERS,195.21
41382,4780411,4780411,DILTIAZEM,ANGULAR (EX FADA DILTIAZEM),60 MG,20,COMPRIMIDOS,FADA PHARMA,10.98
19988,3730512,3730512,DILTIAZEM,DILTENK,60 MG,60,COMPRIMIDOS,BIOTENK,43.65
36591,3730771,3730771,DILTIAZEM,DILTENK AP,120 MG,30,COMPRIMIDOS,BIOTENK,57.33
27856,3730691,3730691,DILTIAZEM,DILTENK AP,90 MG,30,COMPRIMIDOS,BIOTENK,51.03
13358,3718072,3718072,DILTIAZEM,DILZEN G,120 MG,50,COMPRIMIDOS,KLONAL,25.71
13354,3717822,3717822,DILTIAZEM,DILZEN G,60 MG,50,COMPRIMIDOS,KLONAL,35.84
1589,3110691,3110691,DILTIAZEM,HART,120 MG,30,COMPRIMIDOS,IVAX ARG.,73.88
8690,2796131,2796131,DILTIAZEM,HART,60 MG,20,COMPRIMIDOS,IVAX ARG.,15.19
8691,2796132,2796132,DILTIAZEM,HART,60 MG,50,COMPRIMIDOS,IVAX ARG.,41.01
8692,2796133,2796133,DILTIAZEM,HART AP,120 MG,20,CAPSULAS,IVAX ARG.,68.66
8693,2796134,2796134,DILTIAZEM,HART AP,120 MG,50,CAPSULAS,IVAX ARG.,157.42
1611,3110771,3110771,DILTIAZEM,HART AP,180 MG,30,CAPSULAS,IVAX ARG.,118.88
18777,2796135,2796135,DILTIAZEM,HART CD,180 MG,30,CAPSULAS,IVAX ARG.,118.88
18778,2796136,2796136,DILTIAZEM,HART CD,240 MG,30,CAPSULAS,IVAX ARG.,174.13
18779,2796137,2796137,DILTIAZEM,HART CD,300 MG,30,CAPSULAS,IVAX ARG.,163.74
968,2817592,2817592,DILTIAZEM,INCORIL,60 MG,60,COMPRIMIDOS,BAGO,55.95
9274,3094102,3094102,DILTIAZEM,INCORIL AP,120 MG,30,COMPRIMIDOS,BAGO,95.41
969,2817671,2817671,DILTIAZEM,INCORIL AP,90 MG,30,COMPRIMIDOS,BAGO,65.18
970,2817672,2817672,DILTIAZEM,INCORIL AP,90 MG,60,COMPRIMIDOS,BAGO,124.76
9277,3094282,3094282,DILTIAZEM,INCORIL MONODOSIS,180 MG,30,COMPRIMIDOS,BAGO,125.18
9278,3094362,3094362,DILTIAZEM,INCORIL MONODOSIS,240 MG,30,COMPRIMIDOS,BAGO,184.28
22294,4319902,4319902,DILTIAZEM,INCORIL MONODOSIS,300 MG,30,COMPRIMIDOS,BAGO,195.21
11063,3085111,3085111,DILTIAZEM,TILAZEM,120 MG,30,COMPRIMIDOS,ELEA,62.22
6346,2877572,2877572,DILTIAZEM,TILAZEM,60 MG,60,COMPRIMIDOS,ELEA,43.65
6347,3002862,3002862,DILTIAZEM,TILAZEM AS,90 MG,60,COMPRIMIDOS,ELEA,90.57
36325,0535213,535213,DORZOLAMIDA,DORLAMIDA,,5,COLIRIO,ATLAS,106.87
17782,4112311,4112311,DORZOLAMIDA,TRUSOPT,2%,5,COLIRIO,MERCK SHARP,106.81
22403,4468581,4468581,DORZOLAMIDA+TIMOLOL,COSOPT,,5,COLIRIO,MERCK SHARP,121.87
42575,5774681,5774681,DORZOLAMIDA+TIMOLOL,DOR TIMOLOL,,5,COLIRIO,HLB PHARMA,121.87
36326,0536013,536013,DORZOLAMIDA+TIMOLOL,DORLAMIDA T,,5,COLIRIO,ATLAS,121.87
45654,4491411,5716131,DORZOLAMIDA+TIMOLOL,DORZOFLAX,,5,COLIRIO,SIDUS,82.36
38321,5154341,5154341,DORZOLAMIDA+TIMOLOL,DORZOLAMIDA T DORF,,5,COLIRIO,PHARMADORF,82.36
25086,4666661,4666661,DORZOLAMIDA+TIMOLOL,GLAUCOTENSIL TD (EX NF),,5,COLIRIO,POEN,121.87
46370,4857311,4857311,DORZOLAMIDA+TIMOLOL,PRESS OUT T,,5,COLIRIO,RAYMOS,82.36
25591,4849071,4849071,DORZOLAMIDA+TIMOLOL,TIMED D,,5,COLIRIO,BAUSCH,82.36
40713,5437711,5437711,DORZOLAMIDA+TIMOLOL,ZOPIROL DM,,5,COLIRIO,ELEA,121.87
48884,6173841,6173841,ENALAPRIL,ARTERIOPRIL,10 MG,30,COMPRIMIDOS,PFIZER,18.20
48883,6173711,6173711,ENALAPRIL,ARTERIOPRIL,5 MG,30,COMPRIMIDOS,PFIZER,15.04
3209,3025212,3025212,ENALAPRIL,DEFLUIN,10 MG,20,COMPRIMIDOS,ELEA,7.99
9610,3025214,3025214,ENALAPRIL,DEFLUIN,10 MG,60,COMPRIMIDOS,ELEA,30.10
9609,3025132,3025132,ENALAPRIL,DEFLUIN,5 MG,30,COMPRIMIDOS,ELEA,15.04
17297,3025133,3025133,ENALAPRIL,DEFLUIN,5 MG,60,COMPRIMIDOS,ELEA,25.90
36832,5181632,5181632,ENALAPRIL,DENTROMIN,10 MG,50,COMPRIMIDOS,DENVER FARMA,18.56
36833,5181792,5181792,ENALAPRIL,DENTROMIN,20 MG,50,COMPRIMIDOS,DENVER FARMA,58.53
41410,46083212,9941410,ENALAPRIL,DREPATIL,10 MG,20,COMPRIMIDOS,FADA PHARMA,7.99
41411,46083222,9941411,ENALAPRIL,DREPATIL,10 MG,50,COMPRIMIDOS,FADA PHARMA,18.56
35084,3127103,3127102,ENALAPRIL,ECAPRILAT,10 MG,30,COMPRIMIDOS,LAZAR,36.32
7035,3127104,3127104,ENALAPRIL,ECAPRILAT,10 MG,60,COMPRIMIDOS,LAZAR,76.28
35085,3127283,3127283,ENALAPRIL,ECAPRILAT,20 MG,30,COMPRIMIDOS,LAZAR,43.13
7072,3127284,3127284,ENALAPRIL,ECAPRILAT,20 MG,60,COMPRIMIDOS,LAZAR,32.90
27045,3608001,3608001,ENALAPRIL,ENALAFEL,10 MG,20,COMPRIMIDOS,RAFFO,7.99
27046,3608002,3608002,ENALAPRIL,ENALAFEL,10 MG,50,COMPRIMIDOS,RAFFO,18.56
27047,3608181,3608181,ENALAPRIL,ENALAFEL,20 MG,20,COMPRIMIDOS,RAFFO,11.62
27048,3608182,3608182,ENALAPRIL,ENALAFEL,20 MG,50,COMPRIMIDOS,RAFFO,39.59
27043,3607931,3607931,ENALAPRIL,ENALAFEL,5 MG,20,COMPRIMIDOS,RAFFO,9.83
27044,3607932,3607932,ENALAPRIL,ENALAFEL,5 MG,50,COMPRIMIDOS,RAFFO,18.46
37820,5229441,5229441,ENALAPRIL,ENALAPRIL GEN MED,10 MG,20,COMPRIMIDOS,TECHSPHERE,7.99
37821,5229442,5229442,ENALAPRIL,ENALAPRIL GEN MED,10 MG,50,COMPRIMIDOS,TECHSPHERE,18.56
37822,5229511,5229511,ENALAPRIL,ENALAPRIL GEN MED,20 MG,20,COMPRIMIDOS,TECHSPHERE,17.29
37823,5229512,5229512,ENALAPRIL,ENALAPRIL GEN MED,20 MG,50,COMPRIMIDOS,TECHSPHERE,39.59
37818,5229391,5229391,ENALAPRIL,ENALAPRIL GEN MED,5 MG,20,COMPRIMIDOS,TECHSPHERE,9.83
37819,5229392,5229392,ENALAPRIL,ENALAPRIL GEN MED,5 MG,50,COMPRIMIDOS,TECHSPHERE,18.46
44733,5902711,5902711,ENALAPRIL,ENALAPRIL PUNTANOS,10 MG,20,COMPRIMIDOS,LABORATORIOS PUNTANOS,7.99
12907,3365882,3365882,ENALAPRIL,ENALAPRIL RICHET,10 MG,20,COMPRIMIDOS,RICHET,7.99
12908,3365884,3365884,ENALAPRIL,ENALAPRIL RICHET,10 MG,50,COMPRIMIDOS,RICHET,49.90
13089,3365962,3365962,ENALAPRIL,ENALAPRIL RICHET,20 MG,20,COMPRIMIDOS,RICHET,11.62
13090,3365964,3365964,ENALAPRIL,ENALAPRIL RICHET,20 MG,50,COMPRIMIDOS,RICHET,39.59
255,2904291,2904291,ENALAPRIL,ENALDUN,10 MG,30,COMPRIMIDOS,DUNCAN,18.20
32527,2904292,2904292,ENALAPRIL,ENALDUN,10 MG,60,COMPRIMIDOS,DUNCAN,30.10
457,2904371,2904371,ENALAPRIL,ENALDUN,20 MG,30,COMPRIMIDOS,DUNCAN,21.00
32528,2904372,2904372,ENALAPRIL,ENALDUN,20 MG,60,COMPRIMIDOS,DUNCAN,32.90
