Nro Reg,Troquel,Producto,Presentacion,Accion Terapeutica,Monodroga,Vademecum
23300,3691671,CLAVULOX,500 MG COMP.REC.X 14,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
21185,4261492,CLAVULOX DUO,400 MG/5 ML SUSP.X 70 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
21335,3995442,DARZITIL PLUS,COMP.X 16,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
21014,3995441,DARZITIL PLUS,COMP.X 8,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
21015,3995521,DARZITIL PLUS,SUSP.X 60 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
21016,3995522,DARZITIL PLUS,SUSP.X 90 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
42991,5752712,DARZITIL PLUS 1000 MG,COMP.X 14,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
42990,5752711,DARZITIL PLUS 1000 MG,COMP.X 7,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
42992,5766391,DARZITIL PLUS DUO,JBE.X 70 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
38290,9938290,DIBIONAL,1.2 G IV F.A.X 1,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
40197,5562004,FABAMOX DUO,500/125 MG COMP.REC.X 16,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
40196,5562002,FABAMOX DUO,500/125 MG COMP.X 8,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
41784,5562135,FABAMOX DUO 1 GR,875/125 MG COMP.REC.X 14,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
46653,6025684,FABAMOX DUO SUSPENSION,400/57 MG SUSP.X 70 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
12891,3211411,GRINSIL CLAV,250 MG SUSP.X 90 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
12892,3211252,GRINSIL CLAV,500 MG COMP.X 16,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
13980,3211591,GRINSIL CLAV,500 MG SUSP.X 90 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
48062,4684305,GRINSIL CLAV DUO,SUSP.X 140 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
38678,4684302,GRINSIL CLAV DUO,SUSP.X 70 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
38607,4168695,GRINSIL CLAV DUO 875,875 MG COMP.X 14,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
26865,4824982,KLONALMOX,PED.250 MG SUSP.X 90 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
41851,5284363,NOBACTAM CLAVULANICO,COMP.REC.X 16,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
41850,5284361,NOBACTAM CLAVULANICO,COMP.REC.X 8,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
45247,5284413,NOBACTAM CLAVULANICO 2,COMP.REC.X 14,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
41852,5284782,NOBACTAM CLAVULANICO 2,SUSP.EXT.X 90 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
46995,9946995,OMNIGAL,400/57 MG SUSP.X 70 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
46994,9946994,OMNIGAL,875/125 MG COMP.X 14,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
50623,6293712,OMNIGAL S,250/62.5 MG SUSP.X 90 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
50622,6293682,OMNIGAL S,500/125 MG COMP.X 16,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
50621,6293681,OMNIGAL S,500/125 MG COMP.X 8,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
6285,2534852,OPTAMOX,500 MG COMP.X 16,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
6269,2534851,OPTAMOX,500 MG COMP.X 8,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
12128,2534931,OPTAMOX,LACT.125 MG SUSP.X 60 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
6300,2535001,OPTAMOX,PED.250 MG SUSP.X 60 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
13626,2535002,OPTAMOX,PED.250 MG SUSP.X 90 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
31676,3804605,OPTAMOX DUO,1 G COMP.X 14,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
45526,4117945,OPTAMOX DUO,SUSP.X 140 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
21045,4117943,OPTAMOX DUO,SUSP.X 70 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
45795,596784,PLENOBIOTIC DUO,COMP.X 14,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
45794,596797,PLENOBIOTIC DUO,SUSP.X 70 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
48137,6162551,TIBIMOX CLAVULANICO,500 MG COMP.X 16,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
48136,6162552,TIBIMOX CLAVULANICO,500 MG COMP.X 8,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
48138,6162682,TIBIMOX CLAVULANICO DUO,875/125 COMP.X 14,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
48139,6162842,TIBIMOX CLAVULANICO DUO,SUSP.X 70 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
44809,3518412,ULTRABIOTIC,COMP.X 16,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
44808,3518411,ULTRABIOTIC,COMP.X 8,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
44810,3518751,ULTRABIOTIC,SUSP.X 60 ML.,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
44811,5525972,ULTRABIOTIC DUO,COMP.X 14,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
45769,5526002,ULTRABIOTIC DUO,SUSP.X 120 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
44812,5526001,ULTRABIOTIC DUO,SUSP.X 70 ML,ANTIBIOTICO,'AMOXICILINA+CLAVULANICO,AC.',CUBIERTOS
26706,4779362,ALBESINE BIOTIC,COMP.REC.X 16,ANTIBIOTICO ANTIINFL.,AMOXICILINA+DICLOFENAC,CUBIERTOS
26705,4779361,ALBESINE BIOTIC,COMP.REC.X 8,ANTIBIOTICO ANTIINFL.,AMOXICILINA+DICLOFENAC,CUBIERTOS
16262,3965162,AMIXEN PLUS,COMP.REC.X 16,ANTIBIOTICO ANTIINFL.,AMOXICILINA+DICLOFENAC,CUBIERTOS
16261,3965161,AMIXEN PLUS,COMP.REC.X 8,ANTIBIOTICO ANTIINFL.,AMOXICILINA+DICLOFENAC,CUBIERTOS
38815,5040042,GLIFAPEN,COMP.REC.X 16,ANTIBIOTICO ANTIINFL.,AMOXICILINA+DICLOFENAC,CUBIERTOS
33179,5040041,GLIFAPEN,COMP.REC.X 8,ANTIBIOTICO ANTIINFL.,AMOXICILINA+DICLOFENAC,CUBIERTOS
49540,3362734,RODINAC BIOTIC,COMP.REC.X 18,ANTIBIOTICO ANALGESICO,AMOXICILINA+DICLOFENAC,CUBIERTOS
49539,3362733,RODINAC BIOTIC,COMP.REC.X 9,ANTIBIOTICO ANALGESICO,AMOXICILINA+DICLOFENAC,CUBIERTOS
35663,4722912,AMOXICILINA SULBACTAM RICHET,1 G COMP.X 16,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
27571,4722911,AMOXICILINA SULBACTAM RICHET,1 G COMP.X 8,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
27566,4723243,AMOXICILINA SULBACTAM RICHET,250 MG SUSP.ORAL X 24 DS,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
27570,4722832,AMOXICILINA SULBACTAM RICHET,500 MG COMP.X 16,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
27569,4722831,AMOXICILINA SULBACTAM RICHET,500 MG COMP.X 8,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
27567,4723321,AMOXICILINA SULBACTAM RICHET,500 MG SUSP.ORAL X 12 DS,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
27568,4723323,AMOXICILINA SULBACTAM RICHET,500 MG SUSP.ORAL X 24 DS,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
27129,3434181,DARZITIL SB,1000 MG COMP.X 8,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
27132,3434761,DARZITIL SB,1500 MG F.A.X 1,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
27130,3434261,DARZITIL SB,250 MG JBE.X 60 ML,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
27128,3434002,DARZITIL SB,500 MG COMP.X 16,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
27127,3434001,DARZITIL SB,500 MG COMP.X 8,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
27131,3434341,DARZITIL SB,500 MG JBE.X 60 ML,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
1076,3009891,TRIFAMOX IBL,1000 MG COMP.X 8,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
3635,3010361,TRIFAMOX IBL,1500 MG INY.X 1,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
1073,3009971,TRIFAMOX IBL,250 MG JBE.X 60 ML,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
10002,3009712,TRIFAMOX IBL,500 MG COMP.X 16,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
1075,3009711,TRIFAMOX IBL,500 MG COMP.X 8,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
10003,3010022,TRIFAMOX IBL,500 MG JBE.X 120 ML,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
1074,3010021,TRIFAMOX IBL,500 MG JBE.X 60 ML,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
3634,3010281,TRIFAMOX IBL,750 MG INY.X 1,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
26361,4736611,TRIFAMOX IBL DUO,20 G SUSP.X 30 ML,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
26362,4736613,TRIFAMOX IBL DUO,20 G SUSP.X 60 ML,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
26356,4718392,TRIFAMOX IBL DUO,875 MG COMP.X 14,ANTIBIOTICO,AMOXICILINA+SULBACTAM,CUBIERTOS
19597,4169261,ALPOVEX,1000 MG F.A.X 1+A.DILUY.,ANTIBIOTICO,AMPICILINA,CUBIERTOS
19596,4169181,ALPOVEX,500 MG F.A.X 1+A.DILUY.,ANTIBIOTICO,AMPICILINA,CUBIERTOS
45987,9945987,AMPI BIS,1000 MG INY.F.A.X 50,ANTIBIOTICO,AMPICILINA,CUBIERTOS CON AUTORIZACION PREVIA
67,2067232,AMPI BIS,500 MG COMP.X 16,ANTIBIOTICO,AMPICILINA,CUBIERTOS
45988,9945988,AMPI BIS,500 MG INY.F.A.X 50,ANTIBIOTICO,AMPICILINA,CUBIERTOS CON AUTORIZACION PREVIA
32568,9932568,AMPICILINA DRAWER,1000 MG F.A.X 100,ANTIBIOTICO,AMPICILINA,CUBIERTOS CON AUTORIZACION PREVIA
31724,487927,AMPICILINA EPICARIS,1000 MG INY.F.A.X 1,ANTIBIOTICO,AMPICILINA,CUBIERTOS
3528,2814782,AMPICILINA FECOFAR,500 MG COMP.X 16,ANTIBIOTICO,AMPICILINA,CUBIERTOS
3527,2814781,AMPICILINA FECOFAR,500 MG COMP.X 8,ANTIBIOTICO,AMPICILINA,CUBIERTOS
999,3160512,AMPICILINA RICHET,1 G COMP.X 16,ANTIBIOTICO,AMPICILINA,CUBIERTOS
928,3160511,AMPICILINA RICHET,1 G COMP.X 8,ANTIBIOTICO,AMPICILINA,CUBIERTOS
7153,2188432,AMPICILINA RICHET,500 MG COMP.X 16,ANTIBIOTICO,AMPICILINA,CUBIERTOS
7152,2188431,AMPICILINA RICHET,500 MG COMP.X 8,ANTIBIOTICO,AMPICILINA,CUBIERTOS
27558,2872866,AMPIGEN,1000 MG COMP.X 8,ANTIBIOTICO,AMPICILINA,CUBIERTOS
29704,2872865,AMPIGEN,500 MG COMP.X 16,ANTIBIOTICO,AMPICILINA,CUBIERTOS
2920,2872864,AMPIGEN,500 MG COMP.X 8,ANTIBIOTICO,AMPICILINA,CUBIERTOS
3302,2872863,AMPIGEN SIMPLE,250 MG JBE.X 60 ML,ANTIBIOTICO,AMPICILINA,CUBIERTOS
15797,2872868,AMPIGEN SIMPLE,250 MG JBE.X 90 ML,ANTIBIOTICO,AMPICILINA,CUBIERTOS
32822,4274522,AMPINOX,500 MG COMP.X 16,ANTIBIOTICO,AMPICILINA,CUBIERTOS
32821,4274521,AMPINOX,500 MG COMP.X 8,ANTIBIOTICO,AMPICILINA,CUBIERTOS
11870,9911870,AMPRIALEN,1 G A.X 50,ANTIBIOTICO,AMPICILINA,CUBIERTOS CON AUTORIZACION PREVIA
11868,3495491,AMPRIALEN 250,250 MG SUSP.X 60 ML,ANTIBIOTICO,AMPICILINA,CUBIERTOS
5507,9905507,BACTILINA,1000 MG F.A.X 1,ANTIBIOTICO,AMPICILINA,CUBIERTOS CON AUTORIZACION PREVIA
29254,9929254,FADA AMPICILINA,1000 MG F.A.X 100,ANTIBIOTICO,AMPICILINA,CUBIERTOS CON AUTORIZACION PREVIA
42778,580184,GALCICLINA  SANT GALL,500 MG COMP.X 16,ANTIBIOTICO,AMPICILINA,CUBIERTOS
42777,580171,GALCICLINA  SANT GALL,500 MG COMP.X 8,ANTIBIOTICO,AMPICILINA,CUBIERTOS
1043,2117982,TRIFACILINA,1000 MG COMP.X 16,ANTIBIOTICO,AMPICILINA,CUBIERTOS
1042,2117981,TRIFACILINA,1000 MG COMP.X 8,ANTIBIOTICO,AMPICILINA,CUBIERTOS
1044,106371,TRIFACILINA,1000MG INY.LIOF.X1+SOLV.,ANTIBIOTICO,AMPICILINA,CUBIERTOS
1047,1538912,TRIFACILINA,500 MG COMP.X 16,ANTIBIOTICO,AMPICILINA,CUBIERTOS
1050,106291,TRIFACILINA,500 MG INY.LIOF.X1+SOLV.,ANTIBIOTICO,AMPICILINA,CUBIERTOS
1039,1757382,TRIFACILINA FORTE,JBE.X 120 ML,ANTIBIOTICO,AMPICILINA,CUBIERTOS
7612,2841831,AMPLIBENZATIN BRONQUIAL,INY.F.A.X 1+SOLV.A.X 1,ANTIBIOTICO EXPECTORANTE,AMPICILINA+ASOC.,CUBIERTOS
8770,967521,ASEPTOBRON AMPICILINA,1000 MG F.A.+A.SOLV.X 1,ANTIBIOTICO BALSAMICO,AMPICILINA+ASOC.,CUBIERTOS
51021,2106836,CRONOPEN BALSAMICO,AD.INY.F.A.X 2/2 X 5 ML,ANTIBIOTICO EXPECTORANTE,AMPICILINA+ASOC.,CUBIERTOS
49987,2106835,CRONOPEN BALSAMICO,AD.INY.F.A.X 4/4 X 5 ML,ANTIBIOTICO EXPECTORANTE,AMPICILINA+ASOC.,CUBIERTOS
49508,2106834,CRONOPEN BALSAMICO,AD.INY.F.A.X 6 X 5 ML,ANTIBIOTICO EXPECTORANTE,AMPICILINA+ASOC.,CUBIERTOS
5724,2106912,CRONOPEN BALSAMICO,INF.INY.F.A.X 3 X 2.5 ML,ANTIBIOTICO EXPECTORANTE,AMPICILINA+ASOC.,CUBIERTOS
44112,9944112,AMINOXIDIN SULBACTAM,INY.F.A.X 100 X 20 ML,ANTIBIOTICO,AMPICILINA+SULBACTAM,CUBIERTOS CON AUTORIZACION PREVIA
36485,9936485,AMPI BIS PLUS,1500 MG INY.F.A.X 50,ANTIBIOTICO,AMPICILINA+SULBACTAM,CUBIERTOS CON AUTORIZACION PREVIA
41930,9941930,AMPICILINA + SULBACTAM DRAWER,1.5 G INY.F.A.X 100,ANTIBIOTICO,AMPICILINA+SULBACTAM,CUBIERTOS CON AUTORIZACION PREVIA
14403,3813773,AMPIGEN SB,1.5 G INY.X 1,ANTIBIOTICO,AMPICILINA+SULBACTAM,CUBIERTOS
16608,404541,PRIXIN,1.5 G F.A.X 1,ANTIBIOTICO,AMPICILINA+SULBACTAM,CUBIERTOS
17429,4007050,SULTAMICILINA RICHET,1.5 G INY.F.A.X 1,ANTIBIOTICO,AMPICILINA+SULBACTAM,CUBIERTOS
37813,5463971,AGRELID,0.5 MG CAPS.X 100,AGENTE REDUCTOR DE PLAQUETAS,ANAGRELIDE,CUBIERTOS CON AUTORIZACION PREVIA
37814,5464001,AGRELID,1 MG CAPS.X 100,AGENTE REDUCTOR DE PLAQUETAS,ANAGRELIDE,CUBIERTOS CON AUTORIZACION PREVIA
47744,6116000,INARO,0.5 MG CAPS.X 100,AGENTE REDUCTOR DE PLAQUETAS,ANAGRELIDE,CUBIERTOS CON AUTORIZACION PREVIA
36001,5325131,ANASKEBIR,1 MG COMP.REC.X 28,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
34379,5248481,ANASTRAZE,1 MG COMP.REC.X 30,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
34380,5248482,ANASTRAZE,1 MG COMP.REC.X 60,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
39013,5124361,ANASTROZOL GLENMARK,1 MG COMP.REC.X 30,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
45157,9945157,ANASTROZOL GP PHARM,1 MG COMP.REC.X 28,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
39702,5502971,ANASTROZOL KILAB,1 MG COMP.REC.X 28,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
33967,5226122,ANASTROZOL MICROSULES,1 MG COMP.REC.X 28,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
34396,5219991,ANASTROZOL TECHSPERE,1 MG COMP.REC.X 28,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
37737,544000,ANASTROZOL VARIFARMA,1 MG COMP.X 28,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
27460,4517822,ANEBOL,COMP.X 28,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
18570,4189141,ARIMIDEX,COMP.X 28,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
34433,4969301,AROMENAL,1 MG COMP.X 28,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
46085,6025553,CEFER,COMP.REC.X 28,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
28282,469785,DISTALENE,1 MG COMP.X 28,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
26741,9926741,GONDONAR,1 MG COMP.REC.X 28,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
26742,4789001,GONDONAR,1 MG COMP.REC.X 30,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
24151,4613433,LEPROFEN,1 MG COMP.X 30,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
28917,4774991,PANTESTONE,1 MG COMP.X 28,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
36738,5032053,PURICAP,1 MG COMP.REC.X 28,ANTINEOPLASICO,ANASTROZOL,CUBIERTOS CON AUTORIZACION PREVIA
14295,275801,TETAVAX,JGA.PRELL.X 0.5 ML,INMUNIZACION ANTITETANICA,ANATOXINA TETANICA,CUBIERTOS
21036,4169501,AMPHOTEC,100 MG INY.A.X 1,ANTIBIOTICO ANTIMICOTICO,ANFOTERICINA B,CUBIERTOS CON AUTORIZACION PREVIA
22372,4169421,AMPHOTEC,50 MG INY.F.A.X 1,ANTIBIOTICO ANTIMICOTICO,ANFOTERICINA B,CUBIERTOS CON AUTORIZACION PREVIA
24546,9924546,ANFOTERICINA B FADA,50 MG INY.F.A.LIOF.X 5,ANTIBIOTICO ANTIMICOTICO,ANFOTERICINA B,CUBIERTOS CON AUTORIZACION PREVIA
45546,9945546,ANFOTERICINA B NORTHIA,50 MG INY. I.V. F.A.X 5,ANTIBIOTICO ANTIMICOTICO,ANFOTERICINA B,CUBIERTOS CON AUTORIZACION PREVIA
16269,3955260,ANFOTERICINA RICHET,50 MG INY.F.A.X 1,ANTIBIOTICO ANTIMICOTICO,ANFOTERICINA B,CUBIERTOS
27084,4809631,ABELCET,100 MG F.A.X 20 ML,ANTIBIOTICO ANTIMICOTICO,ANFOTERICINA B COMPLEJO LIPIDICO,CUBIERTOS CON AUTORIZACION PREVIA
48727,5646971,ECALTA,FCO.A.DE PVO.LIOF.P/PERF,ANTIMICOTICO USO SISTEMICO,ANIDULAFUNGINA,CUBIERTOS CON AUTORIZACION PREVIA
17307,3947842,PERGAMID,750 MG COMP.X 30,NOOTROPICO,ANIRACETAM,CUBIERTOS
17308,3947843,PERGAMID,750 MG COMP.X 60,NOOTROPICO,ANIRACETAM,CUBIERTOS
20518,431346,AVAXIM,JGA.PRELL.X 0.5 ML,VACUNA CONTRA HEPATITIS A,ANTIGENO HEPATITIS A,CUBIERTOS CON AUTORIZACION PREVIA
33939,4313461,AVAXIM 80 U PEDIATRICO,JGA.PRELL.X 0.5 ML,VACUNA CONTRA HEPATITIS A,ANTIGENO HEPATITIS A,CUBIERTOS CON AUTORIZACION PREVIA
19569,4237571,HAVRIX 1440 EL.U. ADULTOS,JGA.PRELL.X 1,VACUNA CONTRA HEPATITIS A,ANTIGENO HEPATITIS A,CUBIERTOS CON AUTORIZACION PREVIA
18309,4157961,HAVRIX 720 EL.U. MONO DOSIS,JGA.PRELL.X 1,VACUNA CONTRA HEPATITIS A,ANTIGENO HEPATITIS A,CUBIERTOS CON AUTORIZACION PREVIA
23298,4497114,VAQTA 25,INY.F.A.X 1 X 0.5 ML,VACUNA CONTRA HEPATITIS A,ANTIGENO HEPATITIS A,CUBIERTOS CON AUTORIZACION PREVIA
23299,4497294,VAQTA 50,INY.F.A.X 1 X 1 ML,VACUNA CONTRA HEPATITIS A,ANTIGENO HEPATITIS A,CUBIERTOS CON AUTORIZACION PREVIA
43031,5774711,VIROHEP A JUNIOR,JGA.PRELL.X 0.25 ML,VACUNA CONTRA HEPATITIS A,ANTIGENO HEPATITIS A,CUBIERTOS CON AUTORIZACION PREVIA
33984,404400,VIROHEP-A,JGA.PRELL.X 0.5 ML,VACUNA CONTRA HEPATITIS A,ANTIGENO HEPATITIS A,CUBIERTOS CON AUTORIZACION PREVIA
22039,4357941,TWINRIX,AD.JGA.PRELL.X 1,VACUNA CONTRA HEPATITIS A Y B,ANTIGENO HEPATITIS A Y B,CUBIERTOS CON AUTORIZACION PREVIA
22038,4357861,TWINRIX,PED.JGA.PRELL.X 1,VACUNA CONTRA HEPATITIS A Y B,ANTIGENO HEPATITIS A Y B,CUBIERTOS CON AUTORIZACION PREVIA
46671,4051432,AG-B 10,10 MCG SUSP.INY.X1X0.5ML,VACUNA CONTRA HEPATITIS B,ANTIGENO HEPATITIS B,CUBIERTOS CON AUTORIZACION PREVIA
28951,4051437,AG-B 10 UNIJECT,10MCG JGA.PRELL.X1X0.5ML,VACUNA CONTRA HEPATITIS B,ANTIGENO HEPATITIS B,CUBIERTOS CON AUTORIZACION PREVIA
46185,4051431,AG-B 20,SUSP.INY.F.A.X 1 X 1 ML,VACUNA CONTRA HEPATITIS B,ANTIGENO HEPATITIS B,CUBIERTOS CON AUTORIZACION PREVIA
28952,4051433,AG-B 20 UNIJECT,20MCG JGA.PRELL.X1 X 1ML,VACUNA CONTRA HEPATITIS B,ANTIGENO HEPATITIS B,CUBIERTOS CON AUTORIZACION PREVIA
15334,3794551,BIOVAC HB,10 MCG F.A.X 0.5 ML,VACUNA CONTRA HEPATITIS B,ANTIGENO HEPATITIS B,CUBIERTOS CON AUTORIZACION PREVIA
15335,3794631,BIOVAC HB,20 MCG F.A.X 1 ML,VACUNA CONTRA HEPATITIS B,ANTIGENO HEPATITIS B,CUBIERTOS CON AUTORIZACION PREVIA
17887,3073652,ENGERIX-B,JGA.PRELL.X 1 ML,VACUNA CONTRA HEPATITIS B,ANTIGENO HEPATITIS B,CUBIERTOS CON AUTORIZACION PREVIA
17888,3692582,ENGERIX-B PEDIATRICO,JGA.PRELL.X 0.5 ML,VACUNA CONTRA HEPATITIS B,ANTIGENO HEPATITIS B,CUBIERTOS CON AUTORIZACION PREVIA
32871,5088201,HB VAX PRO,40 MCG IM F.A.X 1 X 1 ML,VACUNA CONTRA HEPATITIS B,ANTIGENO HEPATITIS B,CUBIERTOS CON AUTORIZACION PREVIA
32825,5088011,HB VAX PRO,5 MCG IM F.A.X 1 X 0.5ML,VACUNA CONTRA HEPATITIS B,ANTIGENO HEPATITIS B,CUBIERTOS CON AUTORIZACION PREVIA
23846,3947501,HEPATIVAX,F.A.X 1 DS.X 1 ML,VACUNA CONTRA HEPATITIS B,ANTIGENO HEPATITIS B,CUBIERTOS CON AUTORIZACION PREVIA
24117,3947502,HEPATIVAX JUNIOR,F.A.X 1 DS.X 0.5 ML,VACUNA CONTRA HEPATITIS B,ANTIGENO HEPATITIS B,CUBIERTOS CON AUTORIZACION PREVIA
39443,5171761,SUPERVAX (VAC.CONTRA HEPATITIS B COADYUVADA),20 MCG/ML SUSP.INY.,VACUNA CONTRA HEPAT.B COADYUVADA,ANTIGENO HEPATITIS B+RC-529,CUBIERTOS CON AUTORIZACION PREVIA
1481,399261,NILFLUX,VAC.ORAL GRAG.X 10,INMUNIZACION ACTIVA,ANTIGENOS,CUBIERTOS
16999,4035351,AGRIPPAL S1,JGA.PRELL.X 1,VACUNA ANTIGRIPAL,ANTIGENOS VIRUS INFLUENZA,CUBIERTOS
