,BARRA,DESCRIPCIÓN,PRESENTACION,,,,LABORATORIO,PRECIO VENTA,FRACCION,,,
200027071,7702184010082,COMPLEJO B 250 TABLETAS EC,CJ,18901,18901,0,ECAR LTDA,1.10%,0,,,
200015711,7702184900239,COMPLEJO B 250 TBS ,OFE,18500,18500,0,ECAR LTDA,1.10%,0,,,
200027619,7702184020098,COMPLEJO B JARABE 120 ML EC,FCO,4550,4317,0,ECAR LTDA,1.10%,0,,,
200027618,7702184680018,DERMI CLEAR LOCION 100 ML  IVA,FCO,5403,5143,0.16,ECAR LTDA,1.45%,0,,,
200027617,7702184030073,DIBETRIN 2 ML 3 AMPOLLAS,CJ,6032,6032,0,ECAR LTDA,1.30%,0,,,
200027615,7702184030080,DIPIRONA 2 ML 25 AMPOLLAS EC,CJ,22867,22867,0,ECAR LTDA,1.20%,0,,,
200016599,7702184030219,DIPIRONA 5 ML 5 AMPOLLAS EC,CJ,8984,8984,0,ECAR LTDA,1.20%,0,,,
200027622,7702184010457,DIPIRONA 500 MG 50 TABLETAS EC,CJ,6475,6475,0,ECAR LTDA,1.50%,0,,,
200027623,7702184430354,DISPENSADOR DE PARED BACTRODERM,UN,28573,28573,0.16,ECAR LTDA,1.45%,0,,,
200027624,7702184550120,ECARVIT JALEA 220 ML,FCO,15325,15325,0.16,ECAR LTDA,1.45%,0,,,
200027652,7702184590010,FARMALAX 5 MILIGRAMOS 10 CAPSULAS,CJ,2742,2742,0,ECAR LTDA,1.10%,0,,,
200027651,7702184590027,FARMALAX 5 MILIGRAMOS 100 CAPSULAS,CJ,12250,12250,0,ECAR LTDA,0.5%,0,,,
200029044,7702184594001,FARMALAX P SOLUCION 15 ML,CJ,11667,11667,0,ECAR LTDA,1.10%,0,,,
200029338,7702184592021,FARMALAX PEG 3350 15 SBS 17 GR,CJ,45501,41651,0,ECAR LTDA,1.10%,0,,,
200029653,7702184592014,FARMALAX PEG 3350 160 GR,UN,24501,24501,0,ECAR LTDA,1.10%,0,,,
200031931,7702184030226,GLUCONATO DE CALCIO 10% 25 AMP EC,CJ,30218,27709,0,ECAR LTDA,1.20%,0,,,
200031930,7702184020128,KETOTIFENO 1 MG JARABE 100 ML EC,FCO,2858,2683,0,ECAR LTDA,1.50%,0,,,
200031932,7702184011256,LOPERAMIDA 2 MG 240 TABLETAS EC,CJ,36751,35001,0,ECAR LTDA,1.20%,0,,,
200031933,7702184010150,LOPERAMIDA 2 MG 6 TABLETAS EC,CJ,2217,2217,0,ECAR LTDA,1.50%,0,,,
200031934,7702184011201,LOSARTAN 50 MG 30 TBS EC,CJ,4434,4434,0,ECAR LTDA,1.50%,0,,,
200031935,7702184011430,LOSARTAN 50 MG 300 TBS EC,CJ,22809,22809,0,ECAR LTDA,1.20%,0,,,
200032334,7702184010761,LOSARTAN 50 MG+HCT 12.5 MG 15 TBS EC,CJ,6592,6009,0,ECAR LTDA,1.50%,0,,,
200006111,7702184011058,LOSARTAN 50 MG+HCT 12.5 MG 30 TBS EC,CJ,8750,8750,0,ECAR LTDA,1.50%,0,,,
200006112,7702184620014,LUDIKA 20 MG 1 TABLETA,CJ,16334,16334,0,ECAR LTDA,1.10%,0,,,
200029337,7702184620021,LUDIKA 20 MG 4 TABLETAS,CJ,56002,56002,0,ECAR LTDA,1.10%,0,,,
200006152,7702184500170,MENOCAL 500 TABLETAS GTS DISP.100 TBS,OFE,12572,12572,0.05,ECAR LTDA,1.20%,0,,,
200006153,7702184500316,MENOCAL POLVO 220 GR GTS DISP.100 TBS,OFE,9247,9247,0.05,ECAR LTDA,1.20%,0,,,
200006154,7702184500446,MENOCAL POLVO 280 GR GTS DISP.100 TBS,OFE,9871,9871,0.05,ECAR LTDA,1.20%,0,,,
200006155,7702184510230,MENOCAL SUCRALOSA 100 TBS PG.1 LL.2,OFE,5247,5247,0.05,ECAR LTDA,1.20%,0,,,
200006156,7702184510254,MENOCAL SUCRALOSA 220 GR GTS DIS.100 TBS,OFE,13091,13091,0.05,ECAR LTDA,1.20%,0,,,
200029047,7702184510018,MENOCAL SUCRALOSA 50 SOBRES,CJ,6754,6390,0.05,ECAR LTDA,1.20%,0,,,
200006143,7702184510308,MENOCAL SUCRALOSA 500 TBS GT.DIS.100 TBS,OFE,15273,15273,0.05,ECAR LTDA,1.20%,0,,,
200006144,7702184030288,METOCLOPRAMIDA 10 MG 2 ML 25 AMP.EC,CJ,19951,19951,0,ECAR LTDA,1.20%,0,,,
200006145,7702184020142,METRONIDAZOL 125 MG SUSPENSION 120 ML EC,FCO,3092,3092,0,ECAR LTDA,1.50%,0,,,
200006137,7702184010181,METRONIDAZOL 500 MG 100 TABLETAS EC,CJ,7234,7234,0,ECAR LTDA,1.20%,0,,,
200006138,7702184010754,ORLISTAT 120 MG 30 CAPSULAS ECAR,CJ,35001,35001,0,ECAR LTDA,1.20%,0,,,
200006139,7702184011065,ORLISTAT 120 MG 60 CAPSULAS ECAR,CJ,67085,63702,0,ECAR LTDA,1.15%,0,,,
200006141,7702184011102,PAROXETINA 20 MG 10 TABLETAS EC,CJ,8400,8400,0,ECAR LTDA,1.30%,0,,,
200006130,7702184010594,PAROXETINA 20 MG 30 TABLETAS EC,CJ,16801,15926,0,ECAR LTDA,1.30%,0,,,
200006132,7702184560020,PASEDOL 50 MG 100 TABLETAS,CJ,19076,19076,0,ECAR LTDA,0.1%,0,,,
200006129,7702184011225,PIRIDOXINA CLORHIDRATO 50 MG 100 TBS EC,CJ,18667,16171,0,ECAR LTDA,1.20%,0,,,
200006136,7702184900246,TIAMINA 300 MG 250 TBS ,CJ,20510,20510,0,ECAR LTDA,1.20%,0,,,
200006135,7702184011089,PREGABALINA 300 MG 30 CAP. EC(P)176153,CJ,31501,31501,0,ECAR LTDA,1.20%,0,,,
200006134,7702184020159,SALBUTAMOL JARABE 120 ML EC,FCO,1867,1867,0,ECAR LTDA,1.50%,0,,,
200012689,7702184010501,SERTRALINA 50 MG 10 TABLETAS EC,CJ,13359,13359,0,ECAR LTDA,1.10%,0,,,
200012096,7702184010822,SULBUTIAMINA 200 MG 30 TBS EC,CJ,27768,27534,0,ECAR LTDA,0.1%,0,,,
200012097,7702184010259,SULFATO FERROSO 200 MG 100 GRAGEAS EC,CJ,4609,4609,0,ECAR LTDA,1.10%,0,,,
200012098,7702184010617,SULFATO FERROSO 200 MG 250 GRAGEAS EC,CJ,11259,11259,0,ECAR LTDA,1.10%,0,,,
200012690,7702184010433,SULFATO FERROSO 200 MG 50 GRAGEAS EC,CJ,2392,2392,0,ECAR LTDA,1.10%,0,,,
200022565,7702184130148,TIAMINA 1 GR 10 ML AMPOLLA EC,AMP,3987,3778,0,ECAR LTDA,1.10%,0,,,
200022564,7702184030523,TIAMINA 10 ML AMP,OFE,5100,5100,0,ECAR LTDA,1.10%,0,,,
200022566,7702184030516,TIAMINA 100 MG 2 ML 5 AMPOLLAS EC,CJ,9334,8925,0,ECAR LTDA,1.10%,0,,,
200012691,7702184030417,TIAMINA 2 ML 25 AMPOLLAS EC,CJ,41885,39843,0,ECAR LTDA,1.10%,0,,,
200012688,7702184010280,TIAMINA 300 MG 250 TABLETAS EC,CJ,23742,23742,0,ECAR LTDA,1.10%,0,,,
200029138,7702184010303,TINIDAZOL 500 MG 48 TABLETAS ECAR,CJ,6650,6650,0,ECAR LTDA,1.50%,0,,,
200027608,7702184020197,TRIMETOPRIM SULFA 40-200 SUSP.120 ML EC,FCO,2567,2567,0,ECAR LTDA,1.50%,0,,,
200027609,7702184020173,TRIMETROPIN SULFA 40MG/200 MG  FCO 60 ML,FCO,1692,1692,0,ECAR LTDA,1.50%,0,,,
200027610,7702184630013,VICAL VITAMINA A+E 12 TABLETAS,CJ,6182,6182,0.16,ECAR LTDA,1.50%,0,,,
200027611,7702184630020,VICAL VITAMINA A+E 50 TABLETAS,CJ,19066,19066,0.16,ECAR LTDA,1.50%,0,,,
200006113,7702184540329,VICAL VITAMINAS Y MINERALES 100 TABLETAS,FCO,27845,27845,0.16,ECAR LTDA,1.50%,0,,,
200006123,7702184540312,VICAL VITAMINAS Y MINERALES 30 TABLETAS,FCO,13195,13195,0.16,ECAR LTDA,1.50%,0,,,
200021903,7702184580318,VITAMI.C VICAL 144 TBS ,CJ,19076,19076,0,ECAR LTDA,1.20%,0,,,
200029042,7702184030158,VITAMINA B12 1 ML 25 AMPOLLAS EC (T),CJ,33834,33834,0,ECAR LTDA,1.10%,0,,,
200022568,7702184130162,VITAMINA B12 10 ML AMPOLLA EC,AMP,3247,3247,0,ECAR LTDA,1.10%,0,,,
200022567,7702184010358,VITAMINA C 500 MG 250 TABLETAS EC,CJ,31851,31851,0,ECAR LTDA,1.10%,0,,,
200022569,7702184020302,VITAMINA C GOTAS 100 MG 30 ML EC,FCO,4200,3850,0,ECAR LTDA,1.20%,0,,,
200027680,7702184020180,VITAMINA C GOTAS 100 MG 50 ML EC,FCO,6009,5484,0,ECAR LTDA,1.20%,0,,,
200029049,7702184580301,VITAMINA C VICAL 144 TBS,OFE,19076,19076,0,ECAR LTDA,1.20%,0,,,
200006121,7702184580219,VITAMINA C VICAL MANDARINA MAST.144 TBS,CJ,19076,19076,0,ECAR LTDA,1.20%,0,,,
200006122,7702184580202,VITAMINA C VICAL NARANJA MAST.144 TBS,CJ,19076,19076,0,ECAR LTDA,1.20%,0,,,
200006115,7702184580226,VITAMINA C VICAL T.FRUTTI  MAST.144 TBS,CJ,19076,19076,0,ECAR LTDA,1.20%,0,,,
200006101,7702184030257,VITAMINA K 10 MG 1 ML AMPOLLA EC,AMP,1731,1731,0,ECAR LTDA,1.80%,0,,,
200006103,7707254791205,2 DISPLAY MAQ.SCHICK QUATTRO 8UDS+BLO.60,OFE,34390,34390,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200022155,7707254790000,BLO.BANANA ULT.SPF100 118ML+.P.KI.60 P.E,OFE,21798,19503,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200015201,79656552072,BLOQ.BANANA AQUA PROTEC SPF 50 118 ML,UN,17099,17099,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200017242,7707254790024,BLOQ.BANANA AQUA.SPF 50 118ML GTS BRONCE,OFE,25436,22758,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200019246,79656501407,BLOQ.BANANA B.BABY SIN LAG.FPS 50 118 ML,UN,17099,17099,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200017243,79656550566,BLOQ.BANANA BOAT KIDS SPF 50 60 ML,UN,8719,8719,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200029651,7707254790338,BLOQ.BANANA BOAT U.DEFEN.SPF 80 118ML PE,OFE,15369,11974,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200015199,79656550559,BLOQ.BANANA BOAT ULTRA DEFE.SPF 50 60 ML,UN,8719,8719,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200019984,79656550627,BLOQ.BANANA KIDS FPS 100 118 ML,UN,21887,21800,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200022160,79656549652,BLOQ.BANANA ULTRA DEFENSE SPF 100 118 ML,FCO,21887,21887,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200022153,79656549638,BLOQ.BANANA ULTRA DEFENSE SPF 30 118 ML,FCO,15983,15983,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200022154,79656546453,BLOQ.BANANA ULTRA DEFENSE SPF 80 118 ML,UN,21887,19211,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200022152,79656500882,BRONC.BANANA ACEITE PROTECTOR SPF8 236 M,UN,17038,17038,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200022156,7707254790314,BRONC.BANANA ACEITE SPF4 236 ML PRE.ESP.,OFE,10358,10358,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200019983,79656500257,BRONC.BANANA BOAT ACEITE GOLD SPF4 236 M,UN,13000,13000,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200022150,4891228540029,CUCHILLA SCHICK D.FILO 10 X 5 UDS,PAQ,8726,8311,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200022157,841058004561,GEL DE AFEITAR SHICK PIEL SENSIBLE 75 ML,UN,4900,4900,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200029043,4891228300937,MAQ.SCHICK 4 QUATTRO 8 UDS,PAQ,17195,17195,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0, ,,
200021160,6937266702055,MAQ.SCHICK 4 QUATTRO TITANIUM FREESHTYLE,UN,4635,5181,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200022159,7707254790123,MAQ.SCHICK EXACTA PIEL DELI.12 U.P10.L12,OFE,12433,12433,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200022151,7707254790116,MAQ.SCHICK EXACTA PIEL SEN.12 U.P10 LL12,OFE,12433,12433,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200026215,7591066320193,MAQ.SCHICK U.BARBA PIEL SENSIBLE 24 UDS,DIS,18295,18128,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200029046,7707254790178,MAQ.SCHICK XTREME-3 P/D HAWA TRO.12 UDS,DIS,17212,17212,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200026213,7707254790154,MAQ.SCHICK XTREME-3 PIEL NORMAL 12 UDS,DIS,17212,17212,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200026214,7707254790161,MAQ.SCHICK XTREME-3 PIEL SENSIBLE 12 UDS,DIS,17212,17212,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200029652,4891228550035,MAQUINA SCHICK 4 QUATTRO TITANIUM,UN,7972,7741,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200029045,4891228550042,REP.SCHICK 4 QUATTRO TITANIUM 2 UDS,UN,7913,7913,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200026210,7707254790291,TAMPON PLAYTEX REGULAR DTE 8 U.P6.LL8,OFE,5150,4706,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200026216,7707254790307,TAMPON PLAYTEX SUPER DTE 8 U.PAG6.LL8,OFE,5150,4706,0.16,EDGEWELL PERSONAL CARE CO,1.40%,0,,,
200026212,8413971000085,ACEITE OLIVAS BALLESTER 191 ML,TAR,6313,5648,0.16,EDUARDO MURILLO LONDONO,1.40%,0,,,
200026211,8413971000078,ACEITE OLIVAS BALLESTER 409 ML,TAR,11663,10752,0.16,EDUARDO MURILLO LONDONO,1.40%,0,,,
200032424,7501082242010,CIALIS 20 MG 1 TABLETA (M),CJ,35681,27426,0,ELI LILLY INTERAMERICA,0.5%,0,,,
200032423,7501082242034,CIALIS 20 MG 2 TABLETA  (M),CJ,67913,52200,0,ELI LILLY INTERAMERICA,0.5%,0,,,
200031151,7501082242027,CIALIS 20 MG 4 TABLETAS (M),CJ,130830,100562,0,ELI LILLY INTERAMERICA,0.5%,0,,,
200032422,7501082242294,CIALIS 20 MG 8 TABLETAS (A) (M),CJ,245724,188874,0,ELI LILLY INTERAMERICA,0.5%,0,,,
200030403,7703991000112,CIALIS 5 MG 14 TABLETAS (A),CJ,129760,99740,0,ELI LILLY INTERAMERICA,0.5%,0,,,
200030404,7756597000024,CIALIS 5 MILIGRAMOS 28 TABLETAS(A),CJ,259639,199569,0,ELI LILLY INTERAMERICA,0.3%,0,,,
200001456,7800067000066,CYMBALTA 60 MG 28 CAPSULAS (A),CJ,390588,381312,0,ELI LILLY INTERAMERICA,1.15%-,0,,,
200027498,7795990001818,EFFIENT 10 MG 14 TBS(A),CJ,151168,144866,0,ELI LILLY INTERAMERICA,1.10%,0,,,
200001458,7800067007195,HUMALOG 100 U.I.10 ML AMP. (R)(P)50027,AMP,56526,48267,0,ELI LILLY INTERAMERICA,0.5%,0,,,
200030407,7703991000068,HUMALOG 100 U.I.3 ML 5 CART.(R)(P)75041,CJ,84789,73837,0,ELI LILLY INTERAMERICA,0.5%,0,,,
200030406,7703991000143,HUMALOG MIX 25 100 UI KWIK(A)(R)(P)16419,CJ,18552,16155,0,ELI LILLY INTERAMERICA,0.5%,0,,,
200029271,7501082208733,HUMALOG MIX 25 100UI 3ML 5 (R)(P)82099,CJ,92764,80782,0,ELI LILLY INTERAMERICA,0.5%,0,,,
200029270,7703991000150,HUMALOG MIX 50 100 UI KWIK(A)(R)(P)16419,CJ,18552,16155,0,ELI LILLY INTERAMERICA,0.5%,0,,,
200029272,7795990000125,HUMULIN (R) 100 UI 10 ML AMPOLLA (R) (M),AMP,70887,67342,0,ELI LILLY INTERAMERICA,0.5%,0,,,
200030410,7501082208337,HUMULIN 70/30 100 UI 10 ML AMP (R) (M),AMP,70887,67342,0,ELI LILLY INTERAMERICA,0.5%,0,,,
200027499,7703991000051,HUMULIN 70/30 100 UI 3 ML 5 CARTUCHOS(R),CJ,125835,119543,0,ELI LILLY INTERAMERICA,0.5%,0,,,
200015520,7501082208153,HUMULIN N 100 UI 10 ML AMPOLLA (R)(M),AMP,70887,68032,0,ELI LILLY INTERAMERICA,0.5%,0,,,
200030409,7501082212105,PROZAC 20 MG 28 CAPSULAS (A),CJ,276171,262363,0,ELI LILLY INTERAMERICA,1.10%-,0,,,
200030408,7703991000105,REDEVANT 4 MG 28 TBS (A),CJ,163197,103363,0,ELI LILLY INTERAMERICA,0.5%,0,,,
200016401,7501082212310,ZYPREXA 10 MG 14 TABLETAS (A) (E2),CJ,390707,371172,0,ELI LILLY INTERAMERICA,1.13%-,0,,,
200016805,7501082212334,ZYPREXA 5 MG 14 TABLETAS (A),CJ,210637,200105,0,ELI LILLY INTERAMERICA,1.13%-,0,,,
200030402,7707200904376,PILA SONY ALKALINA AA 2 UNIDADES,BLI,1445,1445,0.16,ENCLA S.A,1.50%,0,,,
200030399,7707239275751,ATIDEX FRASCO GOTAS 3 ML,FCO,35828,35828,0.16,ESPECIALIDADES OFTALMOLOG,1.45%,0,,,
200030400,7707239273627,CLARIVIS 0.025% GOTAS 5 ML,UN,11084,10308,0,ESPECIALIDADES OFTALMOLOG,0.1%,0,,,
200022698,7707239272675,CROMAX 4% 5 ML,UN,23334,21701,0,ESPECIALIDADES OFTALMOLOG,1.10%,0,,,
200030389,7707239275232,DISALOT FRASCO 5 ML,FCO,43168,40146,0,ESPECIALIDADES OFTALMOLOG,0.1%,0,,,
200032310,7707239275768,DORFREE COMPRESAS 5 UNIDADES,CJ,20780,19325,0.16,ESPECIALIDADES OFTALMOLOG,1.40%,0,,,
200032311,7707239270053,DORTIM GOTAS OFTALMICAS 6 ML (M),UN,108503,100908,0,ESPECIALIDADES OFTALMOLOG,0.4%-,0,,,
200024545,7707239277328,FLOBACT D GOTAS 5 ML (T),UN,53668,49911,0,ESPECIALIDADES OFTALMOLOG,0.3%,0,,,
200024544,7707239278073,FLOBACT GOTAS 5 ML,UN,44335,41231,0,ESPECIALIDADES OFTALMOLOG,0.3%,0,,,
200025827,7707239272682,FLU-SURE GOTAS 5 ML,FCO,24501,19951,0,ESPECIALIDADES OFTALMOLOG,1.10%,0,,,
200027720,7707239272774,FLUSURE-T FRASCO 5 ML,FCO,36168,33636,0,ESPECIALIDADES OFTALMOLOG,1.10%,0,,,
200030397,7707239270060,FREEGEN 1% GEL 15 ML  (T),FCO,40835,37976,0,ESPECIALIDADES OFTALMOLOG,0.3%-,0,,,
200029251,7707239275737,FREEGEN GOTAS 15 ML GTS 10 ML,OFE,35001,32551,0,ESPECIALIDADES OFTALMOLOG,0.3%-,0,,,
200029259,7707239276291,HIALTEARS GOTAS 10 ML,FCO,26834,24956,0,ESPECIALIDADES OFTALMOLOG,0.3%-,0,,,
200029258,7707239275744,HIALTEARS GOTAS 15 ML GTS 10 ML,OFE,37334,34721,0,ESPECIALIDADES OFTALMOLOG,1.10%,0,,,
200029257,7707239276284,HIALTEARS GOTAS 5 ML,FCO,14000,13020,0,ESPECIALIDADES OFTALMOLOG,1.10%,0,,,
200029250,7707239278677,KENALER GOTAS 5 ML (T),UN,70002,65102,0,ESPECIALIDADES OFTALMOLOG,0.1%,0,,,
200029261,7707239279902,KENALER R SOLUCION OFTALMICA 5 ML,FCO,70002,65102,0,ESPECIALIDADES OFTALMOLOG,0.5%,0,,,
200029262,7707239275713,MULTIAREDS FRUTOS ROJOS 300 ML,FCO,41202,38317,0.16,ESPECIALIDADES OFTALMOLOG,1.45%,0,,,
200029249,7707239270077,OLODINA SOLUCION OFTAL 5 ML(A) (T),FCO,78169,72697,0,ESPECIALIDADES OFTALMOLOG,0.5%-,0,,,
200029254,7707239272279,OPHTHABRACIN D GOTAS 5 ML (T),UN,40835,37976,0,ESPECIALIDADES OFTALMOLOG,0.5%,0,,,
200025789,7707239271722,OPHTHABRACIN GOTAS 5 ML,UN,26834,24956,0,ESPECIALIDADES OFTALMOLOG,1.10%,0,,,
200025788,7707239276277,OPHTHACRIL GOTAS 15 ML,UN,30334,28211,0,ESPECIALIDADES OFTALMOLOG,0.1%,0,,,
200030394,7707239276475,OPHTHAKER GOTAS 5 ML,UN,44335,36634,0,ESPECIALIDADES OFTALMOLOG,0.5%,0,,,
200030392,7707239276079,OPHTHASONA GOTAS 5 ML,FCO,25667,23871,0,ESPECIALIDADES OFTALMOLOG,0.5%,0,,,
200030391,7707239270084,OPTICAM GOTAS 5 MILILITROS (T),UN,54835,50997,0,ESPECIALIDADES OFTALMOLOG,0.1%,0,,,
200030393,7707239270039,PREFOX-T GOTAS 5 ML (T),FCO,40835,37976,0,ESPECIALIDADES OFTALMOLOG,0.1%,0,,,
200025787,7707239270206,QUIMOX SOLUCION OFTALMICA 5 ML,FCO,51335,51335,0,ESPECIALIDADES OFTALMOLOG,0.5%-,0,,,
200025790,7707239275256,SPRAINER COSMETIC FCO 80 ML 120 APLIC,FCO,25975,41560,0.16,ESPECIALIDADES OFTALMOLOG,1.45%,0,,,
200029248,7707239275249,SPRAINER FCO 80 ML 120 APLICACIONES,FCO,44695,41566,0.16,ESPECIALIDADES OFTALMOLOG,1.45%,0,,,
200029263,7707239275775,SPRAINER TOALLAS HUM.T4-O 30UDS,CJ,30131,28022,0.16,ESPECIALIDADES OFTALMOLOG,1.45%,0,,,
200026408,7702037650656,ADMINISTRADOR DE MEDICAMENTOS,UN,5316,5062,0.16,ETERNA S.A.,1.45%,0,,,
200032632,7702037650649,ASPIRADOR NASAL Y LIMPIA OIDOS MUNCHI,UN,4252,4252,0.16,ETERNA S.A.,1.45%,0,,,
200026155,7702037651219,BIBERON MILKY 11 OZ BOCA ANGOSTA,UN,4561,4344,0.16,ETERNA S.A.,1.45%,0,,,
200030390,7702037651202,BIBERON MILKY 7 OZ BOCA ANGOSTA,UN,5026,4523,0.16,ETERNA S.A.,1.45%,0,,,
200029252,7702037651295,BIBERON MILKY 8 OZ TRIANGULAR,UN,3849,3666,0.16,ETERNA S.A.,1.45%,0,,,
200026000,7702037651196,BIBERON MILKY 9 OZ BOCA ANCHA,UN,6345,6345,0.16,ETERNA S.A.,1.45%,0,,,
200025826,7702037651233,BIBERON MILKY SONAJERO 8 OZ BOCA ANG.,UN,4999,4761,0.16,ETERNA S.A.,1.45%,0,,,
200026810,7702037651387,BIBERON MUNCHI 5 OZ BOCA ANGOSTA,UN,2793,2793,0.16,ETERNA S.A.,1.45%,0,,,
200032840,7702037620079,BIBERON MUNCHI 5 OZ CORRIENTE,UN,2586,2462,0.16,ETERNA S.A.,1.45%,0,,,
200026812,7702037620086,BIBERON MUNCHI 8 OZ CORRIENTE,UN,2936,2936,0.16,ETERNA S.A.,1.45%,0,,,
200026413,7702037651394,BIBERON MUNCHI 9 OZ BOCA ANGOSTA,UN,3117,3117,0.16,ETERNA S.A.,1.45%,0,,,
200032844,7702037620352,BIBERON MUNCHI BOCA ANCHA 8 OZ,UN,7240,7240,0.16,ETERNA S.A.,1.45%,0,,,
200026441,7702037651356,BIBERON MUNCHI MAGICAL 4 OZ BOCA ANCHA,UN,7482,7482,0.16,ETERNA S.A.,1.45%,0,,,
200026440,7702037651349,BIBERON MUNCHI MAGICAL 8 OZ,UN,7497,7497,0.16,ETERNA S.A.,1.45%,0,,,
200026410,7702037651035,BIBERON MUNCHI MANIJAS BOCA ANCHA 8 OZ,UN,7873,7873,0.16,ETERNA S.A.,1.45%,0,,,
200026409,7702037202213,BOLSA ETERNA AGUA CALIENTE C.ACCESORIOS,UN,16534,16534,0.16,ETERNA S.A.,1.45%,0,,,
200026415,7702037202220,BOLSA ETERNA AGUA CALIENTE S.ACCESORIOS,UN,12238,11437,0.16,ETERNA S.A.,1.45%,0,,,
200032633,7702037530415,BOLSA ETERNA HIELO,UN,7088,7088,0.16,ETERNA S.A.,1.45%,0,,,
200027830,7702037100601,BOLSA RECOLECTORA DE ORINA 2000ML ETERNA,UN,3134,2664,0.16,ETERNA S.A.,1.45%,0,,,
200027352,7702037100496,CANULA NASAL ETERNA TALLA L,UN,1027,1027,0.16,ETERNA S.A.,1.45%,0,,,
200026575,7702037100489,CANULA NASAL ETERNA TALLA M,UN,1027,1027,0.16,ETERNA S.A.,1.45%,0,,,
200027302,7702037100472,CANULA NASAL ETERNA TALLA S,UN,1027,1027,0.16,ETERNA S.A.,1.45%,0,,,
200027927,7702037650601,CEPILLO DOBLE USO MUNCHI,UN,6575,6575,0.16,ETERNA S.A.,1.45%,0,,,
200028668,7702037630351,CEPILLO PARA ENCIAS MUNCHI,UN,3622,3622,0.16,ETERNA S.A.,1.45%,0,,,
200030398,7702037620376,CHUPO MUNCHI BOCA ANCHA 2 UDS,PAQ,4565,4348,0.16,ETERNA S.A.,1.45%,0,,,
200027354,7702037650571,CHUPO MUNCHI ENTRETEN.MAGICAL 0-3 2 UDS,UN,5774,5774,0.16,ETERNA S.A.,1.45%,0,,,
200027355,7702037650588,CHUPO MUNCHI ENTRETEN.MAGICAL 3-6 2 UDS,UN,5774,5774,0.16,ETERNA S.A.,1.45%,0,,,
200027655,7702037650595,CHUPO MUNCHI ENTRETEN.MAGICAL 6+ 2 UDS,UN,5774,5774,0.16,ETERNA S.A.,1.45%,0,,,
200030628,7702037610124,CHUPO MUNCHI ENTRETENCION SILICON.C.TAPA,UN,3405,3405,0.16,ETERNA S.A.,1.45%,0,,,
200028497,7702037620178,CHUPO MUNCHI SILICONA 100 UDS (A),TAR,66875,63691,0.16,ETERNA S.A.,1.45%,0,,,
200028498,7702037620307,CHUPO MUNCHI SILICONA 12 UDS,PAQ,7695,7328,0.16,ETERNA S.A.,1.45%,0,,,
200029498,7702037600354,CHUPO MUNCHI SILICONA FLUJO MEDIANO 2UDS,PAQ,3956,3956,0.16,ETERNA S.A.,1.45%,0,,,
200029516,7702037600408,CHUPO MUNCHI SILICONA FLUJO RAPIDO 2 UDS,PAQ,3659,3659,0.16,ETERNA S.A.,1.45%,0,,,
200029515,7702037650557,CHUPOS DE SILI.MUNCHI MAG. B.ANCHA 2 UDS,CJ,6014,5727,0.16,ETERNA S.A.,1.45%,0,,,
200029514,7702037652063,DISPEN.CHUPOS ENTRETENCION 3-6 M 30 UDS,TAR,45138,45138,0.16,ETERNA S.A.,1.45%,0,,,
200029513,7702037530460,DUCHA INTIMA ETERNA,UN,2693,2693,0.16,ETERNA S.A.,1.45%,0,,,
200029507,7702037101714,DUCHA INTIMA ETERNA 25%,OFE,1924,1924,0.16,ETERNA S.A.,1.45%,0,,,
200029506,7702037566162,DUCHA INTIMA PRECISION CARE,UN,4891,4401,0.16,ETERNA S.A.,1.45%,0,,,
