200023721,7506205804410,LECHE ENFAGROW PREMIUM VAINILL 900 GR (M,TAR,65504,65504,0,MEAD JOHNSON NUTRITION,I80,0
200027545,7506205805127,ENFAGROW PREMIUM PREESCOLAR 1200 GR (A),TAR,74718,74718,0,MEAD JOHNSON NUTRITION,I80,0
200028950,7506205806100,ENFAGROW PREMIUM CAJA 1800 GR,CJ,113715,113715,0,MEAD JOHNSON NUTRITION,I80,0
200028951,7506205806117,ENFAGROW PREMIUM VAINILLA CAJA 1800 GR,CJ,113715,113715,0,MEAD JOHNSON NUTRITION,I80,0
200028541,7506205806131,ENFAGROW PREMIUM PREESCOLAR 600 GR,TAR,42360,42360,0,MEAD JOHNSON NUTRITION,I80,0
200030244,7506205806735,ENFAGROW PREMIUM PREESCOLAR 1800 GR,CJ,104811,104811,0,MEAD JOHNSON NUTRITION,I80,0
200030580,7506205806926,ENFAMIL PREMIUM CONFORT CAJA 1200 GR,CJ,124572,124572,0,MEAD JOHNSON NUTRITION,I80,0
200027175,7506295329169,DETERGENTE ARIEL SUAVIZANTE 900 GR,UN,6936,6936,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200027373,7506295348221,GEL DE AFEITAR FUS.PROGLIDE HIDRA.198 GR,UN,15474,15474,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200027372,7506295348238,GEL AFEITAR FUS.PROGLIDE REFRESCA.198 GR,UN,15474,15474,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200027508,7506295355069,CHA.HEAD-SHOULDERS 3 EN 1 200 ML,FCO,7021,7021,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200027507,7506295355076,CHA.HEAD SHOULDERS 3 EN 1 400 ML,FCO,11381,11381,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200027621,7506295355090,CHA.HEAD-SHOULDERS 3 EN 1 700 ML,FCO,17534,17534,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031315,7506295359326,TRAT.FORTICA.PANTENE EXP.AGEDEFY 125 ML,FCO,25080,25080,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200027505,7506295361367,TRATAM.PANTENE INTENS.POST.QUIM.58 ML,UN,11448,11448,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028346,7506295388487,CREMA DENTAL ORAL-B 3D WHITE 53 ML,UN,4808,4808,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031316,7506295396352,ACOND.PANTENE EXPERT AGEDEFY 250 ML,FCO,19793,19793,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031314,7506295396369,ACOND.PANTENE EXPERT KERATIN 250 ML,FCO,19793,19793,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031312,7506295396406,CHA.PANTENE EXPERT AGEDEFY 300 ML,FCO,19793,19793,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028490,7506295399544,CINTAS BLAN.ORAL-B 3D WHITE STRIPS 14 U,CJ,52724,52724,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028315,7506306200487,CREMA PONDS FLAW RADIANCE B.BALM 25 ML,UN,18351,18351,0.16,UNILEVER ANDINA COLOMBIA,G94,0
200028312,7506306201606,CREMA PONDS FLAW R EYE CREAM 15 ML,TBO,24292,22897,0.16,UNILEVER ANDINA COLOMBIA,G94,5.74
200028311,7506306201613,CREMA PONDS FLAWLESS R BB MEDIUM 25 GR,UN,18351,18351,0.16,UNILEVER ANDINA COLOMBIA,G94,0
200031857,7506306226722,DTE AXE BODY SPRAY YOUNG 150 ML,UN,8524,8524,0.16,UNILEVER ANDINA COLOMBIA,G94,0
200031858,7506306226852,DTE AXE BODY SPRAY ANARCY WOMEN 150 ML,UN,8524,8524,0.16,UNILEVER ANDINA COLOMBIA,G94,0
200027510,7506309803678,CHA.PANTENE RESTAURACION 12 ML 20 SBS,DIS,6890,6890,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200027511,7506309803791,ACOND.PANTENE RESTAURACION 12 ML 20 SBS,DIS,6890,6890,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028929,7506309805559,CHA.HEAD-SHOULDERS FUERZA REJUV.200 ML,FCO,7021,7021,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028928,7506309805566,CHA.HEAD-SHOULDERS FUERZA REJUV.400 ML,FCO,11381,11381,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028927,7506309805580,CHA.HEAD-SHOULDERS FUERZA REJUV.700 ML,FCO,17534,17534,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028926,7506309805603,ACOND.HEAD SHOULDERS FUERZA REJUV.200 ML,FCO,7021,7021,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028925,7506309805610,ACOND.HEAD SHOULDERS FUERZA REJUV.400 ML,FCO,11904,11904,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200027509,7506309813851,CHA.HEAD-SHOULDERS 3 EN 1 12 ML 20 SBS,DIS,6890,6890,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200029099,7506309824260,DTE GILLETTE SPRAY SENSITIVE 93 GR H,UN,9550,8682,0.16,PROCTER & GAMBLE COLOMBIA,F54,9.09
200027171,7506309825861,DETERGENTE RINDEX FLORAL 2350 GR,UN,10201,10201,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200027176,7506309826134,DETERGENTE ARIEL ULTRABLANQUEA.2350 GR,UN,15138,15138,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200030509,7506309834146,CEP.ORAL-B STAGES 5-7 ANOS ET.3 +CRE.P.E,OFE,9271,9271,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028656,7506309837253,CRE.PEI.PANTENE RIZOS DEFINIDOS 153 GR,FCO,4440,4440,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028347,7506309838441,CREMA DENTAL ORAL-B 3D WHITE 75 ML,UN,6407,6407,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031287,7506309839141,DTE ANT.OLD SPICE WOLFTHORN SPRAY 93 GR,UN,9501,9501,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031286,7506309839172,DTE ANT.OLD SPICE WOLFTHORN ROLLON 52 GR,UN,6213,6213,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031285,7506309839233,DTE ANT.OLD SPICE WOLFTHORN BARRA 50 GR,UN,7813,7813,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028662,7506309840000,CHA.PANTENE HIDROCAUTERIZACION 200 ML,FCO,6865,6865,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028661,7506309840024,CHA.PANTENE HIDROCAUTERIZACION 400 ML,FCO,10381,10381,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028660,7506309840048,CHA.PANTENE HIDROCAUTERIZACION 750 ML,FCO,17161,15601,0.16,PROCTER & GAMBLE COLOMBIA,F54,9.09
200028659,7506309840567,ACO.PANTENE HIDROCAUTERIZACION 200 ML,FCO,6865,6865,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028658,7506309840581,ACO.PANTENE HIDROCAUTERIZACION 400 ML,FCO,10381,10381,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028657,7506309840628,CRE.PEI.PANTENE HIDROCAUTERIZA.300 ML,FCO,7401,7401,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200029810,7506309845012,CHA.PANTENE REPARACION REJUVEN.200 ML,FCO,6865,6865,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200029811,7506309845036,CHA.PANTENE REPARACION REJUVEN.400 ML,FCO,10381,10381,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200029812,7506309845050,CHA.PANTENE REPARACION REJUVEN.750 ML,FCO,17161,17161,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200028491,7506309845777,DETERGENTE ARIEL LIQ.POWER PODS 14 UDS,BOL,15376,15376,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031303,7506309855615,SEDA DENTAL ORAL B 3D WHITE 35 MTS,UN,5940,5940,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200029808,7506309863283,ACOND.PANTENE REPARACION REJUVEN.200 ML,FCO,6865,6865,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200029809,7506309863306,ACOND.PANTENE REPARACION REJUVEN.400 ML,FCO,10381,10080,0.16,PROCTER & GAMBLE COLOMBIA,F54,2.9
200029552,7506309864075,PANTENE HIDROCAUTERIZACION AMPOLLA 15 ML,UN,4968,4776,0.16,PROCTER & GAMBLE COLOMBIA,F54,3.86
200029109,7506309864747,DTE ANT.OLD SPICE FRESH SPRAY 93 GR,UN,9501,9501,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200029108,7506309864754,DTE ANT.OLD SPICE PURE SPORT SPRAY 93 GR,UN,9501,8637,0.16,PROCTER & GAMBLE COLOMBIA,F54,9.09
200029106,7506309864761,DTE ANT.OLD SPICE AFTER PARTY SPRAY 93GR,UN,9501,8637,0.16,PROCTER & GAMBLE COLOMBIA,F54,9.09
200029107,7506309864778,DTE ANT.OLD SPICE V.I.P SPRAY 93 GR,UN,9501,9501,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200029098,7506309864822,DTE GILLETTE SPRAY ARCTIC ICE 93 GR H,UN,9550,9550,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200029101,7506309864891,DTE GILLETTE SPRAY POWER RUSH 93 GR H,UN,9550,9550,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200029100,7506309864914,DTE GILLETTE SPRAY SPORT TRIUMPH 93 GR H,UN,9550,8682,0.16,PROCTER & GAMBLE COLOMBIA,F54,9.09
200001723,7506309866499,VICK CHERRY DROPS 24 SBS 5 PASTILLAS,SBS,17744,17744,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200001725,7506309866505,VICK MENTOL DROPS 24 SBS 5 PASTILLAS,SBS,17744,17744,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200029300,7506309867793,PANTENE REPARACION AMPOLLA DISP. 4 UDS,DIS,16187,16187,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031732,7506309873183,TRAT.PANTENE CAPILAR LISS EFFECT 60 ML,POT,11767,11314,0.16,PROCTER & GAMBLE COLOMBIA,F54,3.85
200031733,7506309873305,TRAT.PANTENE OLEO 100 ML,POT,14708,14708,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200030510,7506309883298,PANTENE REP.REJUVEN.AMPOLLA,CJ,4968,4968,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200030511,7506309883304,PANTENE REP.REJUVEN.AMPOLLA 3 UDS,CJ,12501,12501,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200030512,7506309894485,CHA.HEAD-SHOULDERS OLD SPICE 200 ML,FCO,7021,7021,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200030513,7506309894492,CHA.HEAD-SHOULDERS OLD SPICE 400 ML,FCO,11381,11381,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031910,7506309898889,DTE ANT.OLD SPICE BLOCKER SPRAY 93 GR,UN,9501,9501,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031909,7506309899039,DTE ANT.OLD SPICE BLOCKER BARRA 50 GR,UN,7813,7813,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031911,7506309899053,DTE ANT.OLD SPICE BLOCKER CREMA 48 GR,UN,9532,9532,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031731,7506339319378,TRAT.PANTENE MICRO BLINDAJE 160 ML,POT,11314,11314,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031908,7506339323078,DTE GILLETTE SPRAY TRAINING DAY 93 GR H,UN,9550,9550,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031916,7506339323085,DTE GILLETTE BARRA TRAINING DAY 50 GR H,UN,9018,9018,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031309,7506339323184,REP.MAQ.AFEITAR GILLETTE MACH 3 6 UDS,DIS,29809,28940,0.16,PROCTER & GAMBLE COLOMBIA,F54,2.92
200031730,7506339334357,MAQ.PRESTOBARBA GILLETTE 3 SEN.PRO.10UDS,BOL,23330,23330,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031914,7506339346022,CHA.HEAD SHOULDERS ALIVIO INSTANT.200 ML,UN,7021,7021,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031915,7506339346039,CHA.HEAD SHOULDERS ALIVIO INSTANT.400 ML,UN,11381,11381,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031912,7506339346053,CHA.HEAD SHOULDERS ALIVIO INSTANT.700 ML,UN,17534,17534,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031913,7506339346091,ACOND. HEAD SHOULDERS ALIVIO INST.400 ML,UN,11904,11904,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031997,7506339391633,DETERGENTE ARIEL REGULAR 850 GR,UN,5294,5294,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200032020,7506339391657,DETERGENTE ARIEL REGULAR 2000 GR,UN,11256,11256,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031991,7506339391688,DETERGENTE ARIEL BLANQUEADOR 850 GR,UN,7103,7103,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031992,7506339391695,DETERGENTE ARIEL BLANQUEADOR 2000 GR,UN,13809,13809,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031996,7506339391701,DETERGENTE ARIEL SUAVIZANTE 850 GR,UN,7103,7103,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200031998,7506339391718,DETERGENTE ARIEL SUAVIZANTE 2000 GR,UN,13809,13809,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200032023,7506339394191,DETERGENTE RINDEX FLORAL 850 GR,UN,3994,3994,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200032024,7506339394207,DETERGENTE RINDEX FLORAL 2000 GR,UN,8445,8445,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200032022,7506339394269,DETERGENTE ACE REGULAR 850 GR,UN,4796,4796,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200032021,7506339394276,DETERGENTE ACE REGULAR 2000 GR,UN,9107,9107,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200017157,7506339397611,CHA.HEAD-SHO.2 1 SUAVE MAN.400+200,OFE,13625,13625,0.16,PROCTER & GAMBLE COLOMBIA,F54,0
200011079,7509546000305,JABON PROTEX LIQUIDO BALANCE 221 ML,UN,5619,4383,0.16,COLGATE PALMOLIVE CIA.,B09,22
200005426,7509546000343,CREMA DENTAL COLGATE TRIPLE ACCION 100GR,UN,3073,3073,0.16,COLGATE PALMOLIVE CIA.,B09,0
200024727,7509546000350,CRE.DENTAL COLGATE TRI.ACCION 150 GR,UN,5215,5215,0.16,COLGATE PALMOLIVE CIA.,B09,0
200016203,7509546000985,CREMA DENTAL COLGATE TRIPLE ACCION 75 GR,UN,2968,2968,0.16,COLGATE PALMOLIVE CIA.,B09,0
200005431,7509546003122,CREMA DENTAL COLGATE JUNIOR BARBIE 75 GR,UN,4258,4258,0.16,COLGATE PALMOLIVE CIA.,B09,0
200005463,7509546004471,DTE LADY INVISIBLE WILD FRESSIA 45 GR M,UN,7980,6939,0.16,COLGATE PALMOLIVE CIA.,B09,13.05
200016601,7509546007083,CREMA DENTAL COLGATE TOTAL C.MINT 50 CC,UN,2292,2292,0.16,COLGATE PALMOLIVE CIA.,B09,0
200009749,7509546008172,DTE LADY BARRA BABY POWER 45 GR M,UN,7980,7980,0.16,COLGATE PALMOLIVE CIA.,B09,0
200025542,7509546009179,CREMA DENTAL COLGATE MENTA FAM.75GR UND,UN,2919,2354,0.16,COLGATE PALMOLIVE CIA.,B09,19.36
200022053,7509546012100,CEP.COLGATE ZIG ZAG PLUS SOFT  2X1,UN,4962,4962,0.16,COLGATE PALMOLIVE CIA.,B09,0
200015042,7509546015514,DTE LADY BAR DOB.DEF.ACTIVE FRE.45 GR M,UN,7980,6939,0.16,COLGATE PALMOLIVE CIA.,B09,13.05
200018490,7509546023076,JABON LIQUIDIO PALMOLIVE YOGURTH 221 ML,UN,3784,3784,0.16,COLGATE PALMOLIVE CIA.,B09,0
200017039,7509546028019,CREMA COLGATE TOT.PROFES.CLEAN 75 ML,UN,5807,5807,0.16,COLGATE PALMOLIVE CIA.,B09,0
200018477,7509546028897,DTE LADY SPRAY ACTIVE FRESH 100 ML M,UN,8928,7762,0.16,COLGATE PALMOLIVE CIA.,B09,13.06
200018479,7509546028910,DTE LADY SPRAY BABY POWER 165 ML M,UN,8928,7762,0.16,COLGATE PALMOLIVE CIA.,B09,13.06
200018480,7509546029023,DTE MENNEN SPR24/7 COOL NIGHT 100 ML H,UN,8928,7762,0.16,COLGATE PALMOLIVE CIA.,B09,13.06
200018474,7509546029047,DTE MENNEN ROL 24/7 COOL NIGHT 50 ML H,UN,5818,5541,0.16,COLGATE PALMOLIVE CIA.,B09,4.76
200018475,7509546029054,DTE LADY SPRAY FLORAL FRESH 100 ML M,UN,8928,7762,0.16,COLGATE PALMOLIVE CIA.,B09,13.06
200018473,7509546029061,DTE LADY ROLLON FLORAL FRESH 50 ML M,UN,5818,5541,0.16,COLGATE PALMOLIVE CIA.,B09,4.76
200018471,7509546029115,DTE MENNEN BARRA 24/7 COOL NIGHT 50 GR H,UN,7980,6939,0.16,COLGATE PALMOLIVE CIA.,B09,13.05
200018470,7509546029139,DTE MENNEN GEL 24/7 COOL NIGHT 85 GR H,UN,9424,9424,0.16,COLGATE PALMOLIVE CIA.,B09,0
200018472,7509546029146,DTE LADY BARRA FLORAL FRESH 45 GR M,UN,7980,6939,0.16,COLGATE PALMOLIVE CIA.,B09,13.05
200018469,7509546029153,DTE LADY GEL FLORAL FRESH 65 GR M,UN,8741,8741,0.16,COLGATE PALMOLIVE CIA.,B09,0
200023857,7509546030241,DTE MENNEN BARRA 24/7 COOL NIGHT 20 GR H,UN,1559,1516,0.16,COLGATE PALMOLIVE CIA.,B09,2.76
200018717,7509546030258,DTE LADY BARRA FLORAL FRESH 20 GR,UN,1900,1516,0.16,COLGATE PALMOLIVE CIA.,B09,20.21
200029330,7509546031828,2 CEP.COLGATE EXTRA CLEAN DURO P.ESP.,OFE,3529,3529,0.16,COLGATE PALMOLIVE CIA.,B09,0
200019504,7509546039152,CREMA DENTAL COLGATE MENTA 22 ML 12 UDS,DOC,8487,8487,0.16,COLGATE PALMOLIVE CIA.,B09,0
200022962,7509546042343,CEP.COLGATE MAXFRESH CABE NORMAL 2X1,UN,7034,6699,0.16,COLGATE PALMOLIVE CIA.,B09,4.76
200020811,7509546044248,CREMA DENTAL COLGATE TOTAL PRO.WHI.75 ML,UN,5807,5807,0.16,COLGATE PALMOLIVE CIA.,B09,0
200021635,7509546045313,DTE MENNEN BARRA 24/7 EXTREME 50 GR H,FCO,7980,6939,0.16,COLGATE PALMOLIVE CIA.,B09,13.05
200021634,7509546045337,DTE MENNEN SPRAY 24/7 EXTREME 100 GR H,FCO,8928,8928,0.16,COLGATE PALMOLIVE CIA.,B09,0
200023856,7509546046822,DTE MENNEN BARRA STAINGUARD 50 GR H,UN,7980,7980,0.16,COLGATE PALMOLIVE CIA.,B09,0
200023855,7509546048253,DTE MENNEN SPRAY STAINGUARD 100 ML H,UN,8928,8928,0.16,COLGATE PALMOLIVE CIA.,B09,0
200022691,7509546048338,CREMA DENTAL COLGATE SPIDERMAN 75 ML,UN,4258,4258,0.16,COLGATE PALMOLIVE CIA.,B09,0
200024775,7509546052526,DTE LADY S.S.SPRAY PH ACTIVE 100 GR M,UN,8928,8928,0.16,COLGATE PALMOLIVE CIA.,B09,0
200024770,7509546052540,DTE LADY S.S.ROLLON PH ACTIVE 50 ML M,UN,6371,6371,0.16,COLGATE PALMOLIVE CIA.,B09,0
200024774,7509546052564,DTE MENNEN SPEED STICK SPRAY X5 100 GR H,UN,8928,8928,0.16,COLGATE PALMOLIVE CIA.,B09,0
200024772,7509546052656,DTE LADY S.S BARRA PH ACTIVE 45 GR M,UN,7980,7980,0.16,COLGATE PALMOLIVE CIA.,B09,0
200024773,7509546052687,DTE LADY BAR.PROF.PROTECTION PH 45 GR M,UN,11419,10900,0.16,COLGATE PALMOLIVE CIA.,B09,4.55
200024771,7509546052755,DTE MENNEN SPEED STICK BARRA X5 50 GR H,UN,7980,7980,0.16,COLGATE PALMOLIVE CIA.,B09,0
200024776,7509546052816,DTE MENNEN SPEED STICK GEL X5 85 GR H,UN,9424,9424,0.16,COLGATE PALMOLIVE CIA.,B09,0
200026241,7509546052861,CRE.COLGATE TOTAL ENC.SALUDABLES 75 GR,UN,5807,5807,0.16,COLGATE PALMOLIVE CIA.,B09,0
200023699,7509546052892,KIT VIAJERO COLGATE CEPILLO + CREMA 22ML,UN,7055,7055,0.16,COLGATE PALMOLIVE CIA.,B09,0
200027351,7509546053066,JABON PROTEX LIQUIDO VITAMINA E 221 ML,FCO,4383,4383,0.16,COLGATE PALMOLIVE CIA.,B09,0
200025934,7509546053776,JABON LIQ.PALMOLIVE COCO ALGODON 221 ML,UN,3784,3784,0.16,COLGATE PALMOLIVE CIA.,B09,0
200026532,7509546053875,CREMA DEN.COLGATE LUMINOUS WHITE 125 ML,UN,8939,8939,0.16,COLGATE PALMOLIVE CIA.,B09,0
200025597,7509546054650,CREMA DEN.COLGATE LUMINOUS WHITE 75 GR,UN,5960,5960,0.16,COLGATE PALMOLIVE CIA.,B09,0
200025931,7509546055152,CEP.COLGATE 360 LUMINOUS MEDIO 2X1,OFE,10241,10241,0.16,COLGATE PALMOLIVE CIA.,B09,0
200026031,7509546055275,DTE.LADY S.S NATURALS Y PROT.ROL.50 GR M,UN,5541,5541,0.16,COLGATE PALMOLIVE CIA.,B09,0
200026030,7509546055282,DTE.LADY S.S NATURALS Y PROT.SPR.100ML M,UN,7762,7762,0.16,COLGATE PALMOLIVE CIA.,B09,0
200026032,7509546055312,DTE.LADY S.S NATURALS Y PROT.BAR.45 GR M,UN,6939,6939,0.16,COLGATE PALMOLIVE CIA.,B09,0
200026027,7509546055336,DTE.MENNEN S.S NATURALS  PROT.GEL 85GR H,UN,9424,9424,0.16,COLGATE PALMOLIVE CIA.,B09,0
200031541,7509546055411,DTE LADY S.S FL.FRE.ROLLON DIS.6UDS 30ML,DIS,8828,8828,0.16,COLGATE PALMOLIVE CIA.,B09,0
200026973,7509546056395,DTE.MENNEN SPEED STICK ADN SPRAY 100 ML,UN,8928,8668,0.16,COLGATE PALMOLIVE CIA.,B09,2.91
200026974,7509546056425,DTE.MENNEN SPEED STICK ADN BAR.50 GR H,UN,7980,7980,0.16,COLGATE PALMOLIVE CIA.,B09,0
200027670,7509546057521,DTE LADY S.S.ROLL.PROF.PROT.5 EN 1 50 ML,UN,6371,6371,0.16,COLGATE PALMOLIVE CIA.,B09,0
200027669,7509546057545,DTE LADY S.S PROFESIONAL 5 EN1 BAR.45 GR,UN,7980,7980,0.16,COLGATE PALMOLIVE CIA.,B09,0
200027671,7509546057569,DTE LADY S.S.SPR.PROF.PROT.5 EN 1 100 ML,UN,8928,8928,0.16,COLGATE PALMOLIVE CIA.,B09,0
200027672,7509546057682,DTE LADY S.S PROF.PROT.5 EN 1 BA.45 GR M,UN,11419,10900,0.16,COLGATE PALMOLIVE CIA.,B09,4.55
200028743,7509546058030,CREMA DEN.COLGATE LUM.WHITE ADVA.70GR,UN,7522,7522,0.16,COLGATE PALMOLIVE CIA.,B09,0
200028878,7509546059747,DTE MENNEN S.S COOL AZUL SPRAY 100 GR H,UN,8928,7762,0.16,COLGATE PALMOLIVE CIA.,B09,13.06
200028877,7509546059754,DTE MENNEN S.S COOL VERDE SPR.100 GR H,UN,8928,7762,0.16,COLGATE PALMOLIVE CIA.,B09,13.06
200028871,7509546059761,DTE LADY S.S COOL  AZUL SPRAY 100 GR M,UN,8928,7762,0.16,COLGATE PALMOLIVE CIA.,B09,13.06
200028872,7509546059778,DTE LADY S.S COOL VERDE SPRAY 100 GR M,UN,8928,7762,0.16,COLGATE PALMOLIVE CIA.,B09,13.06
200028876,7509546059785,DTE MENNEN S.S COOL VERDE BAR. 50 GR H,UN,7980,6939,0.16,COLGATE PALMOLIVE CIA.,B09,13.05
200028875,7509546059792,DTE MENNEN S.S COOL AZUL BARRA 50 GR H,UN,7980,6939,0.16,COLGATE PALMOLIVE CIA.,B09,13.05
200028869,7509546059808,DTE LADY S.S COOL AZUL BARRA 45 GR M,UN,7980,6939,0.16,COLGATE PALMOLIVE CIA.,B09,13.05
200028870,7509546059815,DTE LADY S.S COOL VERDE BARRA 45 GR M,UN,7980,6939,0.16,COLGATE PALMOLIVE CIA.,B09,13.05
200030503,7509546060552,DTE LADY SPRAY ACLARADO PERFECTO 100ML M,UN,8928,8928,0.16,COLGATE PALMOLIVE CIA.,B09,0
200030506,7509546060569,DTE LADY ROLLON ACLARADO PERFECTO 50GR M,UN,6371,6371,0.16,COLGATE PALMOLIVE CIA.,B09,0
200030505,7509546060613,DTE LADY BARRA ACLARADO PERFECTO 45 GR M,UN,7980,7980,0.16,COLGATE PALMOLIVE CIA.,B09,0
200030055,7509546060781,CREMA DENTAL COLGATE NINOS S.FLUOR 50 GR,UN,7762,7762,0.16,COLGATE PALMOLIVE CIA.,B09,0
200029558,7509546061306,CEP.COLGATE 360 INTERDENTAL MEDIO 2X1,OFE,10241,10241,0.16,COLGATE PALMOLIVE CIA.,B09,0
200029723,7509546061344,DTE LADY S.S.STR.DEFENSE SPRAY 100 GR M,UN,8928,8928,0.16,COLGATE PALMOLIVE CIA.,B09,0
200029721,7509546061375,DTE LADY CLINICAL STR.DEFENSE BAR.45GR M,UN,11419,11419,0.16,COLGATE PALMOLIVE CIA.,B09,0
200029722,7509546061535,DTE MENNEN S.S.STRE.DEFENSE SPR.100 GR H,UN,8928,8928,0.16,COLGATE PALMOLIVE CIA.,B09,0
200029720,7509546061542,DTE MENEN CLINICAL ST.DEFENSE BAR.50GR H,UN,11419,11419,0.16,COLGATE PALMOLIVE CIA.,B09,0
200031456,7509546061832,CREM.COLGATE LUMINOUS WHITE INSTANT 75ML,CJ,7190,6848,0.16,COLGATE PALMOLIVE CIA.,B09,4.76
200031472,7509546061894,JAB.LIQUIDO PALMOLIVE AVENA AZU.MO.390ML,FCO,6432,6432,0.16,COLGATE PALMOLIVE CIA.,B09,0
200031950,7509546064130,JAB.LIQ.PALMOLIVE FR.BOSQUE A.COCO 221ML,FCO,3784,3784,0.16,COLGATE PALMOLIVE CIA.,B09,0
200031952,7509546064192,JAB.LIQ.PALMOLIVE FR.BOSQUE A.COCO 390ML,FCO,6432,6432,0.16,COLGATE PALMOLIVE CIA.,B09,0
200020235,7509552193831,CHA.ELVIVE REPARACION TOTAL 5 200 ML,FCO,5514,5514,0.16,LOREAL COLOMBIA S.A.,E37,0
200024198,7509552628708,DERMO EXP.DES HID.TOT.5 TODO TIPO 200 ML,UN,13121,13121,0.16,LOREAL COLOMBIA S.A.,E37,0
200024199,7509552628715,DERMO EXP.DES.HIDRA TOTAL 5 SECA 200 ML,UN,13121,13121,0.16,LOREAL COLOMBIA S.A.,E37,0
200024841,7509552900026,CHA.ELVIVE ANTICAIDA 400 ML,UN,9082,9082,0.16,LOREAL COLOMBIA S.A.,E37,0
200027745,7509552900040,CHA.ELVIVE ANTICAIDA 750 ML,UN,13257,13257,0.16,LOREAL COLOMBIA S.A.,E37,0
200024840,7509552900064,ACOND.ELVIVE ANTICAIDA 400 ML,UN,9082,9082,0.16,LOREAL COLOMBIA S.A.,E37,0
