registroAB,nombre,presentacion,potencia,laboratorio,monodroga,troquel,codigobarra
20499,DICLOGESIC RELAX                            ,comp.x 40               ,50/4 mg,Trb-Pharma          ,diclofenac+pridinol                     ,4195402,7795371458194
20505,LIPITOR                                     ,10 mg comp.x 30         ,10 mg,Pfizer              ,atorvastatín                            ,4257951,7795381000291
20506,LIPITOR                                     ,20 mg comp.x 30         ,20 mg,Pfizer              ,atorvastatín                            ,4258021,7795381000307
20518,AVAXIM                                      ,jga.prell.x 0.5 ml      ,160 U/0.5 ml,Sanofi Pasteur      ,antígeno hepatitis a                    ,431346,7798015780514
20534,SALVALERG                                   ,10 mg comp.x 30         ,10 mg,GlaxoSmithKline     ,cetirizina                              ,3096263,7796930002261
20535,TACARDIA                                    ,50 mg comp.x 30         ,50 mg,Richmond            ,losartán                                ,4297712,7795348002320
20555,GENTAMINA CREMA                             ,pomo x 20 g             ,0.1 %,MSD Argentina SR    ,gentamicina                             ,510794,7793081053968
20559,CETAPHIL HUMECTANTE                         ,cr.x 100 g              , No Clasificada,Galderma            ,aceite de almendras+asoc.               ,9920559,3499320001076
20560,CETAPHIL HUMECTANTE                         ,emuls.x 200 ml          , No Clasificada,Galderma            ,aceite de macadamia+asoc.               ,9920560,3499320001083
20561,FANGAN                                      ,ov.x 5                  ,400 mg,Lazar               ,ketoconazol                             ,3686561,7795347930204
20562,RUBIFEN-10                                  ,comp.x 30               ,10 mg,Bagó                ,metilfenidato                           ,4331780,7790375001193
20563,ROYEN                                       ,500 mg caps.x 120       ,500 mg,Spedrog Caillon     ,"calcio,acetato                          ",4331600,8470006848524
20585,NASTIZOL COMPOSITUM                         ,comp.x 20               , No Clasificada,Bagó                ,isoefedrina+asoc.                       ,2413653,7790375250409
20589,SOMALGEN                                    ,jbe.x 150 ml            ,185 mg/5 ml,Bagó                ,talniflumato                            ,2788053,7790375002336
20599,ZARATOR                                     ,10 mg comp.x 30         ,10 mg,Elea                ,atorvastatín                            ,4280881,7796285271787
20600,ZARATOR                                     ,20 mg comp.x 30         ,20 mg,Elea                ,atorvastatín                            ,4280961,7796285271800
20603,DANLOX                                      ,10 mg caps.x 28         ,10 mg,Casasco             ,omeprazol                               ,4311481,7791909408594
20622,POLIOFTAL                                   ,colirio x 5 ml          , No Clasificada,Raymos              ,tobramicina+dexametasona+asoc.          ,4261731,7798009272988
20623,LEVEDAD                                     ,colirio x 10 ml         ,1 mg/ml,Raymos              ,diclofenac sódico                       ,3897272,7791763000330
20633,CIRCUVIT                                    ,2 mg comp.x 20          ,2 mg,Ariston             ,warfarina                               ,4279312,7795349168797
20634,CIRCUVIT                                    ,5 mg comp.x 20          ,5 mg,Ariston             ,warfarina                               ,4279492,7795349168810
20636,CEPOREXIN                                   ,Ped.250 mg susp.x 90 ml ,250 mg/5 ml,Investi             ,cefalexina                              ,2435192,7795380003354
20637,CEPOREXIN                                   ,500 mg susp.x 90 ml     ,500 mg/5 ml,Investi             ,cefalexina                              ,3915322,7795380003361
20653,ULCOZOL                                     ,10 mg caps.x 28         ,10 mg,Bagó                ,omeprazol                               ,4319823,7790375250447
20661,SALOFALK                                    ,500 mg comp.x 50        ,500 mg,Biotoscana          ,mesalazina                              ,4324931,7798011830275
20663,SALOFALK                                    ,500 mg sup.x 30         ,500 mg,Biotoscana          ,mesalazina                              ,4325001,7795324000401
20681,ATENIX                                      ,50 mg comp.ran.x 60     ,50 mg,Raffo               ,sertralina                              ,3607434,7798084680098
20683,AVENO                                       ,emuls.x 250 ml          , No Clasificada,Andrómaco           ,avena+asoc.                             ,9920683,7793742004377
20701,ESPASMO DIOXADOL                            ,sol.x 30 ml             ,10/250 mg/ml,Bagó                ,octatropina+dipirona                    ,2145782,7790375250379
20703,REGULANE                                    ,comp.x 20               ,2 mg,Finadiet            ,loperamida                              ,2323982,7791171101476
20738,CILATRON                                    ,comp.x 30               ,20 mg,Eurofarma           ,"isosorbide,mononitrato                  ",4296721,7798016920360
20739,CILATRON AP                                 ,caps.x 30               ,60 mg Retard,Eurofarma           ,"isosorbide,mononitrato                  ",4296981,7798016920377
20741,ATENIX                                      ,50 mg comp.ran.x 10     ,50 mg,Raffo               ,sertralina                              ,3607433,7798084681316
20743,OXYCONTIN                                   ,10 mg comp.x 30         ,10 mg Retard,Raffo               ,oxicodona                               ,4313122,7795362018383
20744,OXYCONTIN                                   ,20 mg comp.x 30         ,20 mg Retard,Raffo               ,oxicodona                               ,4313202,7795362018406
20745,OXYCONTIN                                   ,40 mg comp.x 30         ,40 mg Retard,Raffo               ,oxicodona                               ,4313382,7795362018420
20758,CIAGEN 600                                  ,600 mg comp.rec.x 30    ,600 mg,Craveri             ,"tióctico,ác.                            ",4321881,7792234000477
20801,INSULINA HUMULIN                            ,NPH 3.0 ml cart.x 5     ,100 UI/ml NPH,Eli Lilly           ,insulina humana                         ,3164314,7795990001016
20804,INSULINA HUMALOG                            ,100 UI 3.0 ml cart.x 5  ,100 UI/ml,Eli Lilly           ,insulina lispro                         ,4218265,7703991000068
20835,PHARMAFORT                                  ,caps.x 90               , No Clasificada,Boehringer Ingel    ,ginseng+vit.+minerales                  ,2857513,7795304085527
20842,REGULANE SOLUCION                           ,sol.x 60 ml             ,0.02 g %,Finadiet            ,loperamida                              ,4336231,7791171002315
20849,LISAC                                       ,5 mg comp.rec.x 30      ,5 mg,Laboratorios Ber    ,simvastatin                             ,4314791,7792175001199
20850,LISAC                                       ,10 mg comp.rec.x 30     ,10 mg,Laboratorios Ber    ,simvastatin                             ,4314871,7792175001205
20873,PANTOP 20                                   ,blist.comp.x 28         ,20 mg,Takeda              ,pantoprazol                             ,4346132,7795300739325
20876,AET                                         ,0.5% jga.prell.x 2 x 2ml,5 mg/ml,Craveri             ,hidroxipolietoxidodecano                ,4409251,7792234088482
20877,AET                                         ,0.25% jga.prell.x 2 x2ml,2.5 mg/ml,Craveri             ,hidroxipolietoxidodecano                ,4411051,7792234088475
20878,AET                                         ,1% jga.prell.x 2 x 2 ml ,10 mg/ml,Craveri             ,hidroxipolietoxidodecano                ,4409331,7792234088499
20880,ANUSOL DUO S                                ,sup.x 12                , No Clasificada,Elea                ,hidrocortisona+asoc.                    ,4316511,7792690010751
20895,AVAPRO                                      ,150 mg comp.x 28        ,150 mg,Sanofi-Aventis      ,irbesartán                              ,4353721,7795305531757
20897,AVAPRO                                      ,300 mg comp.x 28        ,300 mg,Sanofi-Aventis      ,irbesartán                              ,4353801,7795305531788
20907,BIL 13 ENZIMATICO                           ,comp.rec.x 30           , No Clasificada,Bagó                ,metoclopramida+pancreatina+asoc.        ,98463,7790375250386
20913,HORMODIOL                                   ,gel monodosis sob.x 30  ,60 mg %,Omega               ,estradiol                               ,4306531,7795339005019
20914,HORMODIOL                                   ,gel monodosis sob.x 60  ,60 mg %,Omega               ,estradiol                               ,4306532,7795339005026
20935,JUSTUM                                      ,5 mg comp.x 30          ,5 mg,Sandoz              ,clorazepato dipotásico                  ,2072843,7792069006323
20953,TETRALYSAL                                  ,150 mg caps.x 16        ,150 mg,Galderma            ,limeciclina                             ,4192852,3499320001267
20954,TETRALYSAL                                  ,150 mg caps.x 32        ,150 mg,Galderma            ,limeciclina                             ,4192853,3499320001205
20963,TRH FERRING                                 ,200 mcg a.x 1 x 1 ml    ,200 mcg/ml,Ferring             ,trh                                     ,4402641,7798025130156
20964,DELTA TOMANIL B12                           ,iny.x 2 x 3 ml          , No Clasificada,Takeda              ,diclofenac+vit.b12+asoc.                ,2137861,7795300706655
21013,FLEVIC                                      ,caps.x 50               , No Clasificada,Laboratorios Ber    ,streptococcus faecium                   ,2766012,7792175005371
21021,NIVAS PLUS                                  ,comp.rec.x 30           ,30/100 mg,Raffo               ,nimodipina+citicolina                   ,4149541,7798084680333
21022,NIVAS PLUS                                  ,comp.rec.x 60           ,30/100 mg,Raffo               ,nimodipina+citicolina                   ,4149542,7798084680340
21023,MUCO DOSODOS BIOTIC                         ,susp.oral x 120 ml      ,500/15 mg/5 ml,Beta                ,amoxicilina+ambroxol                    ,4368753,7795328052802
21024,OXA JARABE                                  ,jbe.x 120 ml            ,25 mg/5 ml,Beta                ,diclofenac potásico                     ,4374772,7795328054004
21039,CREON FORTE                                 ,cáps.x 20               ,300 mg,Abbott              ,enzimas digestivas                      ,4048801,8002660011848
21042,RAYCREM ALOE VERA                           ,cr.x 100 g              , No Clasificada,Raymos              ,aloe vera+asoc.                         ,9921042,7791763337627
21044,VASOTENAL                                   ,20 mg comp.x 30         ,20 mg,Roemmers            ,simvastatin                             ,3458023,7795345000046
21045,OPTAMOX DUO                                 ,susp.x 70 ml            ,400/57 mg/5 ml,Roemmers            ,"amoxicilina+clavulánico,ác.             ",4117943,7795345010014
21046,MAXUS                                       ,sol.oft.x 10 ml         ,30 mg/ml,Bausch & Lomb Ar    ,"condroitín,sulfato+asoc.                ",4296641,7798069050304
21096,TAVANIC                                     ,500 mg comp.rec.x 7     ,500 mg,Sanofi-Aventis      ,levofloxacina                           ,4351821,7795312001274
21104,APROVEL 150                                 ,150 mg comp.x 28        ,150 mg,Sanofi-Aventis      ,irbesartán                              ,4356291,7795312108270
21105,DIOXAFLEX GESIC                             ,comp.x 10               ,50/300 mg,Bagó                ,diclofenac+paracetamol                  ,4222541,7790375250478
21106,APROVEL 300                                 ,300 mg comp.x 28        ,300 mg,Sanofi-Aventis      ,irbesartán                              ,4356371,7795312108287
21107,DIOXAFLEX GESIC                             ,comp.x 20               ,50/300 mg,Bagó                ,diclofenac+paracetamol                  ,4222542,7790375250485
21126,LOTOQUIS SIMPLE                             ,iny.a.x 2 ml            ,50 mg/ml,Beta                ,difenilhidantoinato de calcio           ,4380111,7795328057173
21127,EXELON                                      ,1.5 mg caps.x 28        ,1.5 mg,Novartis            ,rivastigmina                            ,4348951,7795306270044
21128,EXELON                                      ,3 mg caps.x 28          ,3 mg,Novartis            ,rivastigmina                            ,4361301,7795306270075
21129,EXELON                                      ,4.5 mg caps.x 28        ,4.5 mg,Novartis            ,rivastigmina                            ,4361481,7795306270105
21130,EXELON                                      ,6 mg caps.x 28          ,6 mg,Novartis            ,rivastigmina                            ,4361561,7795306270167
21142,RANITIDINA LAZAR                            ,150 mg comp.x 100       ,150 mg,Lazar               ,ranitidina                              ,2849933,7795347949299
21143,PATANOL                                     ,0.1% fco.gotero x 5 ml  ,0.1 g %,Alcon               ,olopatadine                             ,4338891,7792086416365
21152,RISPERDAL                                   ,4 mg comp.x 20          ,4 mg,Janssen-Cilag       ,risperidona                             ,3711881,7795314891545
21153,RISPERDAL                                   ,sol.oral x 100 ml       ,1 mg/ml,Janssen-Cilag       ,risperidona                             ,4253571,7795314891552
21154,LEVAQUIN                                    ,500 mg comp.x 7         ,500 mg,Janssen-Cilag       ,levofloxacina                           ,4291932,7795314891583
21155,LEVAQUIN                                    ,5 mg/ml minibag x 100 ml,5 mg/ml,Janssen-Cilag       ,levofloxacina                           ,4292181,7795314891682
21156,LEVAQUIN                                    ,25 mg/ml vial x 20 ml   ,25 mg/ml,Janssen-Cilag       ,levofloxacina                           ,4292001,7795314891590
21179,DECIDEX PLUS                                ,caps.x 10               ,5/120 mg,Roemmers            ,loratadina+pseudoefedrina               ,4520031,7795345010045
21180,DECIDEX PLUS                                ,sol.x 60 ml             ,5/60 mg/5 ml,Roemmers            ,loratadina+pseudoefedrina               ,4131541,7795345009957
21185,CLAVULOX DUO                                ,400 mg/5 ml susp.x 70 ml,400/57 mg/5 ml,Phoenix             ,"amoxicilina+clavulánico,ác.             ",4261492,7794640211522
21193,VOLTAREN FORTE                              ,comp.rec.x 10           ,50/50 mg,Novartis            ,diclofenac sódico+codeína               ,4389621,7795306502305
21194,VOLTAREN FORTE                              ,comp.rec.x 20           ,50/50 mg,Novartis            ,diclofenac sódico+codeína               ,4389622,7795306502329
21196,PLAC OUT                                    ,colut.x 500 ml          ,0.6 g %,Laboratorios Ber    ,clorhexidina                            ,9921196,7792175001151
21200,PROETZONIDE NASAL SPRAY                     ,env.x 100 dosis         ,100 mcg/dosis,Dallas              ,budesonide                              ,4037091,7795331006243
21205,NEUROTIOCT                                  ,200 mg comp.x 30        ,200 mg,Trb-Pharma          ,"tióctico,ác.                            ",4387061,7795371458224
21206,NEUROTIOCT                                  ,600 mg comp.x 30        ,600 mg,Trb-Pharma          ,"tióctico,ác.                            ",4387221,7795371458231
21216,PROPECIA                                    ,1 mg comp.rec.x 30      ,1 mg,Merck Sharp & Do    ,finasteride                             ,4386231,7797991065974
21219,FACTUS GOTAS PEDIATRICAS                    ,fco.x 30 ml             ,0.75/13.5 mg/ml,Roux Ocefa          ,clorfeniramina+asoc.                    ,4263471,7793213590422
21220,FACTUS SOLUCION PEDIATRICA                  ,fco.x 100 ml            ,6/0.4 mg/ml,Roux Ocefa          ,clorfeniramina+asoc.                    ,4263551,7793213590439
21221,NURIBAN A                                   ,comp.x 30               ,40/5 mg,Roux Ocefa          ,furosemida+amilorida                    ,4402981,7793213590453
21223,NIVELIPOL                                   ,20 mg comp.x 30         ,20 mg,Temis-Lostaló       ,simvastatin                             ,3786472,7795337908008
21224,TOTAL MAGNESIANO LIMON                      ,pvo.gran.x 50 g         ,14.4 g %,Temis-Lostaló       ,magnesio                                ,3172814,7795337908039
21226,TOTAL MAGNESIANO LIMON                      ,pvo.gran.x 100 g        ,14.4 g %,Temis-Lostaló       ,magnesio                                ,3172813,7795337908060
21227,NEBLIC                                      ,500 mg comp.x 3         ,500 mg,Lazar               ,azitromicina                            ,4332691,7795347939412
21228,NEBLIC                                      ,600 mg pvo.p/susp.x 15ml,200 mg/5 ml,Lazar               ,azitromicina                            ,4332851,7795347939450
21230,SINEMET 250/25                              ,comp.x 60               ,250/25 mg,Merck Sharp & Do    ,levodopa+carbidopa                      ,2140812,7797991006991
21232,FARADIL NOVO                                ,comp.x 50               ,10/1.5/40 mg,Sidus               ,domperidona+bromazepam+simetic.         ,4039992,7795356000318
21234,BLOKIUM                                     ,50 mg comp.x 15         ,50 mg,Casasco             ,diclofenac sódico                       ,2822521,7791909317018
21235,BLOKIUM                                     ,50 mg comp.x 30         ,50 mg,Casasco             ,diclofenac sódico                       ,2822523,7791909317186
21236,BLOKIUM                                     ,75 mg comp.x 15         ,75 mg,Casasco             ,diclofenac sódico                       ,4408341,7791909317322
21237,BLOKIUM                                     ,75 mg comp.x 30         ,75 mg,Casasco             ,diclofenac sódico                       ,4408342,7791909317490
21238,BLOKIUM                                     ,100mg comp.acc.prol.x 15,100 mg Retard,Casasco             ,diclofenac sódico                       ,3779462,7791909317636
21239,BLOKIUM                                     ,75 mg iny.a.x 5 x 3 ml  ,25 mg/ml,Casasco             ,diclofenac sódico                       ,4408421,7791909317872
21240,BLOKIUM GESIC                               ,50/400 mg comp.x 15     ,50/400 mg,Casasco             ,diclofenac+paracetamol                  ,2301521,7791909318060
21241,BLOKIUM GESIC                               ,50/400 mg comp.x 30     ,50/400 mg,Casasco             ,diclofenac+paracetamol                  ,2301522,7791909318206
21245,TANVIMIL FOLICO                             ,1 mg comp.x 30          ,1 mg,Raymos              ,"fólico,ác.                              ",4365282,7791763337665
21246,TANVIMIL FOLICO                             ,5 mg comp.x 30          ,5 mg,Raymos              ,"fólico,ác.                              ",4365362,7791763337672
21247,AMINOTERAPIA                                ,pomo x 10 g             , No Clasificada,Raymos              ,vit.e+vit.a+asoc.                       ,9921247,7792098362377
21274,JUSTUM                                      ,10 mg comp.x 30         ,10 mg,Sandoz              ,clorazepato dipotásico                  ,2169963,7792069006293
21291,HONGUIL PLUS                                ,caps.oral x 4           ,150 mg,Raymos              ,fluconazol                              ,4187583,7791763337658
21319,CLEXANE                                     ,20 mg jga.prell.x 2     ,20 mg/0.2 ml,Sanofi-Aventis      ,enoxaparina                             ,3736214,7795312001403
21320,CLEXANE                                     ,40 mg jga.prell.x 2     ,40 mg/0.4 ml,Sanofi-Aventis      ,enoxaparina                             ,3736394,7795312001427
21330,DIOCAM                                      ,0.5 mg comp.x 50        ,0.5 mg,Gador               ,clonazepam                              ,4289473,7794433109210
21331,DIOCAM                                      ,2 mg comp.x 50          ,2 mg,Gador               ,clonazepam                              ,4289553,7794433109227
21333,DIFFERIN                                    ,0.1% gel x 15 g         ,0.1 g %,Galderma            ,adapaleno                               ,4054242,3499320001229
21518,LOISAN                                      ,comp.x 10               ,10 mg,Baliarda            ,loratadina                              ,4396971,7795338001326
21519,LOISAN                                      ,comp.x 30               ,10 mg,Baliarda            ,loratadina                              ,4396973,7795338001319
21520,LOISAN D                                    ,comp.x 10               ,5/120 mg,Baliarda            ,loratadina+pseudoefedrina               ,4397121,7795338013343
21562,DIOVAN D                                    ,80/12.5 mg comp.rec.x 14,80/12.5 mg,Novartis            ,valsartán+hidroclorotiazida             ,4402561,7795306503005
21563,DIOVAN D                                    ,80/12.5 mg comp.rec.x 28,80/12.5 mg,Novartis            ,valsartán+hidroclorotiazida             ,4402562,7795306503050
21564,SINGULAIR                                   ,Niños 5 mg comp.mast.x30,5 mg,Merck Sharp & Do    ,montelukast                             ,4402481,7797991065431
21642,ATACAND                                     ,16 mg comp.divis.x 30   ,16 mg,AstraZeneca         ,candesartán cilexetil                   ,4345141,7795302036026
21643,INSULINA HUMULIN                            ,70/30 3.0 ml cart.x 5   ,70/30 UI/ml,Eli Lilly           ,insulina humana                         ,4041796,7703991000051
21644,ACEMUK                                      ,200 mg tab.efer.x 20    ,200 mg,Investi             ,acetilcisteína                          ,4323941,7795380004122
21646,ACEMUK                                      ,600 mg tab.efer.x 10    ,600 mg,Investi             ,acetilcisteína                          ,4324010,7795380004092
21647,ACEMUK                                      ,600 mg tab.efer.x 20    ,600 mg,Investi             ,acetilcisteína                          ,4324011,7795380004108
21650,IRRADIAL                                    ,50 mg comp.rec.x 30     ,50 mg,Ivax Arg.           ,sertralina                              ,4320391,7795326191398
21651,IRRADIAL                                    ,100 mg comp.rec.x 30    ,100 mg,Ivax Arg.           ,sertralina                              ,4320471,7795326191404
21652,DOLTEN SL                                   ,10 mg comp.subl.x 10    ,10 mg/sublinguales,Pfizer              ,ketorolac                               ,4384171,7791824116130
21658,OTOSPORIN                                   ,gts.óticas x 10 ml      , No Clasificada,Investi             ,polimixina b+neomicina+asoc.            ,742112,7795345013411
21659,OTOSPORIN L                                 ,gts.óticas x 10 ml      , No Clasificada,Investi             ,polimixina b+neomicina+asoc.            ,2152792,7795380004306
21683,DEXTROSTIX+                                 ,tiras x 25              , No Clasificada,Bayer Consumer      ,tiras reactivas                         ,5000021,7793640320203
21684,DEXTROSTIX+                                 ,tiras x 50              , No Clasificada,Bayer Consumer      ,tiras reactivas                         ,9921684,7793640320210
21685,METFORMIN TEMIS                             ,850 mg comp.rec.x 30    ,850 mg,Temis-Lostaló       ,metformina                              ,4387301,7795337908053
21686,METFORMIN TEMIS                             ,850 mg comp.rec.x 60    ,850 mg,Temis-Lostaló       ,metformina                              ,4387302,7795337908114
21690,BAREX S                                     ,pvo.hidrosol.sob.x 24   ,3860 mg,Domínguez           ,peg 3350+asoc.                          ,3479313,7795327061232
21691,BAREX S                                     ,pvo.hidrosol.sob.x 50   ,3860 mg,Domínguez           ,peg 3350+asoc.                          ,3479314,7795327061249
21693,R.I.C.CALCIO                                ,pvo.x 100g(sob.x 20x 5g),99 g %,Domínguez           ,poliestiren sulfonato cálcico           ,3894543,7795327061270
21699,RITMOCARDYL                                 ,150 mg iny.a.x 6 x 3 ml ,50 mg/ml,Sanofi-Aventis      ,amiodarona                              ,2906852,7795353108512
21701,FENATROP                                    ,200 mg comp.ran.x 30    ,200 mg,Gador               ,trimebutina                             ,4414361,7792183488364
21702,EUTHYROX                                    ,50 mcg comp.birran.x 50 ,50 mcg,Elea                ,levotiroxina                            ,4299371,7795317000999
21703,EUTHYROX                                    ,75 mcg comp.birran.x 50 ,75 mcg,Elea                ,levotiroxina                            ,4299451,7795317001026
21704,EUTHYROX                                    ,100 mcg comp.birran.x 50,100 mcg,Elea                ,levotiroxina                            ,4299531,7795317001002
21705,EUTHYROX                                    ,125 mcg comp.birran.x 50,125 mcg,Elea                ,levotiroxina                            ,4299611,7795317001033
21706,EUTHYROX                                    ,150 mcg comp.birran.x 50,150 mcg,Elea                ,levotiroxina                            ,4299791,7795317001040
21710,DICLOGESIC RELAX                            ,comp.x 20               ,50/4 mg,Trb-Pharma          ,diclofenac+pridinol                     ,4195401,7795371458187
21711,ALLEGRA                                     ,120 mg comp.x 10        ,120 mg,Sanofi-Aventis      ,fexofenadina                            ,4405871,7795312001359
21712,ALLEGRA                                     ,120 mg comp.x 30        ,120 mg,Sanofi-Aventis      ,fexofenadina                            ,4405872,7795312001366
21724,ROZEX                                       ,0.75% cr.x 30 g         ,750 mg %,Galderma            ,metronidazol                            ,4289711,7798007730428
21725,ERNEX ROSA                                  ,cr.vag.x 30 g+aplic.x 6 ,0.5 g %,Casasco             ,"bencidamina,clorhidrato                 ",3795041,7791909364012
21726,GOBBIDONA                                   ,5 mg tab.x 100          ,5 mg,Gobbi               ,metadona                                ,5423842,7795376001388
21727,GOBBIDONA                                   ,10 mg tab.x 100         ,10 mg,Gobbi               ,metadona                                ,5423972,7795376001371
21728,GOBBIDONA                                   ,40 mg tab.x 100         ,40 mg,Gobbi               ,metadona                                ,5424002,7795376001364
21732,TIADYL                                      ,8 mg comp.x 15          ,8 mg,Abbott              ,candesartán cilexetil                   ,4345981,7790440450611
21733,TIADYL                                      ,8 mg comp.x 30          ,8 mg,Abbott              ,candesartán cilexetil                   ,4345982,7790440450628
21734,TIADYL                                      ,16 mg comp.x 15         ,16 mg,Abbott              ,candesartán cilexetil                   ,4346051,7790440450710
21735,TIADYL                                      ,16 mg comp.x 30         ,16 mg,Abbott              ,candesartán cilexetil                   ,4346052,7790440450727
21742,SPORANOX PULSO                              ,caps.x 28               ,100 mg,Janssen-Cilag       ,itraconazol                             ,3056903,7795314891705
21743,CICATUL N.F.                                ,cr.tópica x 30 g        , No Clasificada,Raymos              ,triticum vulgare+asoc.                  ,3412981,7791763000132
21746,CICATUL N.F.                                ,ov.x 6                  , No Clasificada,Raymos              ,triticum vulgare+asoc.                  ,341272,7791763000149
21747,EFUDIX                                      ,ung.x 20 g              ,5 g %,Investi             ,fluorouracilo                           ,2062281,7798009272025
21758,CALTRATE 600+D                              ,comp.rec.x 30           ,600/200 mg/UI,Pfizer              ,calcio+vit.d                            ,9921758,7792270000073
21765,FLUZOL                                      ,150 mg comp.x 2         ,150 mg,Raymos              ,fluconazol                              ,4322111,7795367001632
21766,FLUZOL                                      ,150 mg comp.x 4         ,150 mg,Raymos              ,fluconazol                              ,4322112,7795367001649
21767,OXALIPLATINO DELTA FARMA                    ,50 mg f.a.x 1           ,50 mg,Sidus               ,oxaliplatino                            ,4419071,7796035469747
21768,OXALIPLATINO DELTA FARMA                    ,100 mg f.a.x 1          ,100 mg,Sidus               ,oxaliplatino                            ,4419151,7796035469754
21770,SITZMARKS                                   ,caps.x 1                , No Clasificada,Domínguez           ,"bario,sulfato                           ",9921770,7795327061409
21775,BUDESON NEBU                                ,sol.x 20 ml             ,0.1 g %,Takeda              ,budesonide                              ,4196491,7795300739790
21783,LITHIUN                                     ,300 mg comp.x 50        ,300 mg,Elisium             ,"litio,carbonato                         ",4385242,7794433109234
21796,DALACIN C 300                               ,300 mg caps.x 16        ,300 mg,Pfizer              ,clindamicina                            ,4103821,7791824117380
21807,ALLEGRA                                     ,180 mg comp.x 10        ,180 mg,Sanofi-Aventis      ,fexofenadina                            ,4424921,7795312001373
21840,XENICAL                                     ,120 mg caps.x 84        ,120 mg,Investi             ,orlistat                                ,4305621,7792371073013
21841,OPTIMINA PLUS                               ,blist.comp.rec.x 30     , No Clasificada,Temis-Lostaló       ,yohimbina+asoc.                         ,3426261,7795337907438
21870,DERMAGLOS                                   ,emuls.x 400 ml          , No Clasificada,Andrómaco           ,vit.a+alantoína+asoc.                   ,2704393,7793742002878
21874,DAROB                                       ,80 mg comp.x 60         ,80 mg,Abbott              ,sotalol                                 ,3956413,7790440579923
21875,IRUXOL                                      ,ung.x 15 g              , No Clasificada,Abbott              ,colagenasa+cloranfenicol+asoc.          ,2350793,7790440512012
21876,DERCOLINA INFANTIL                          ,jalea x 15 g            , No Clasificada,Casasco             ,"colina,salicilato+asoc.                 ",189702,7791909406804
21877,IRUXOL                                      ,ung.x 50 g              , No Clasificada,Abbott              ,colagenasa+cloranfenicol+asoc.          ,2350794,7790440512036
21902,EVISTA                                      ,60 mg comp.x 28         ,60 mg,Eli Lilly           ,raloxifeno                              ,4406782,7795990001054
21907,SILDEFIL                                    ,100 mg comp.x 4         ,100 mg,Pfizer              ,sildenafil                              ,4418901,7795381410069
21908,PACLITAXEL DELTA FARMA                      ,30 mg iny.f.a.x 1       ,6 mg/ml,Sidus               ,paclitaxel                              ,4449931,7796035469853
21909,PACLITAXEL DELTA FARMA                      ,100 mg iny.f.a.x 1      ,6 mg/ml,Sidus               ,paclitaxel                              ,4450081,7796035469860
21910,PACLITAXEL DELTA FARMA                      ,150 mg iny.f.a.x 1      ,6 mg/ml,Sidus               ,paclitaxel                              ,4450161,7796035469877
21911,EPIRUBICINA DELTA FARMA                     ,10 mg iny.f.a.x 1       ,10 mg,Sidus               ,epirubicina                             ,4423511,7796035469761
21912,EPIRUBICINA DELTA FARMA                     ,50 mg iny.f.a.x 1       ,50 mg,Sidus               ,epirubicina                             ,4423691,7796035469778
21913,MITOMICINA C DELTA FARMA                    ,5 mg iny.f.a.x 1        ,5 mg,Sidus               ,mitomicina                              ,4440841,7796035469792
21914,MITOMICINA C DELTA FARMA                    ,20 mg iny.f.a.x 1       ,20 mg,Sidus               ,mitomicina                              ,4440921,7796035469808
21915,GADOPRIL                                    ,5 mg comp.ran.x 50      ,5 mg,Gador               ,enalapril                               ,3927204,7792183101911
21921,LUMIX                                       ,50 mg comp.x 2          ,50 mg,Bagó                ,sildenafil                              ,4421291,7790375250591
21922,LUMIX                                       ,50 mg comp.x 4          ,50 mg,Bagó                ,sildenafil                              ,4421292,7790375250607
21942,AMINOTERAPIA                                ,sob.x 30                , No Clasificada,Raymos              ,cistina+asoc.                           ,3614443,7791763000569
21952,LAMICTAL DISPERSABLE                        ,5 mg comp.x 30          ,5 mg,GlaxoSmithKline     ,lamotrigina                             ,4252665,7796930003114
21953,LAMICTAL DISPERSABLE                        ,25 mg comp.x 30         ,25 mg,GlaxoSmithKline     ,lamotrigina                             ,4252745,7796930003121
21954,LAMICTAL DISPERSABLE                        ,100 mg comp.x 30        ,100 mg,GlaxoSmithKline     ,lamotrigina                             ,4252825,7796930003145
21975,ADAXIL                                      ,1500 mg sob.x 30        ,1500 mg,Takeda              ,glucosamina                             ,3868482,7795300739363
21977,VIMAX                                       ,25 mg comp.x 2          ,25 mg,Roemmers            ,sildenafil                              ,4429392,7795345010250
21978,VIMAX                                       ,50 mg comp.x 2          ,50 mg,Roemmers            ,sildenafil                              ,4429472,7795345010205
21980,VIMAX                                       ,100 mg comp.x 2         ,100 mg,Roemmers            ,sildenafil                              ,4429552,7795345010274
21981,LOSTAPRES                                   ,2.5 mg comp.x 30        ,2.5 mg,Temis-Lostaló       ,ramipril                                ,3131981,7795337907957
21982,LOSTAPRES                                   ,2.5 mg comp.x 60        ,2.5 mg,Temis-Lostaló       ,ramipril                                ,3131982,7795337907964
21983,LOSTAPRES                                   ,5 mg comp.x 30          ,5 mg,Temis-Lostaló       ,ramipril                                ,3132051,7795337907971
21984,TOTAL MAGNESIANO ANTIOXIDANTE               ,comp.rec.x 30           , No Clasificada,Temis-Lostaló       ,magnesio+asoc.                          ,4410802,7795337908015
21986,DERCOLINA                                   ,jalea x 15 g            , No Clasificada,Casasco             ,"colina,salicilato+asoc.                 ",190352,7791909406422
